"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Rec","RecYds","RecAvg","RecTD","RushAtt","RushYds","RushAvg","RushTD","Plays","TotYds","TotAvg","TotTD","ConfIndicator"
"1","drew carter",76,204,4.36,36.5196593793573,124.824360848432,6.95120245138657,4.231623217051,13,10,147,14.7,0,0,0,0,0,10,147,14.7,0,"1"
"2","michael clayton",75,209,4.67,32.5,116,6.77,4.09,14,78,1079,13.8,10,3,25,8.3,0,81,1104,13.6,10,"1"
"3","keary colbert",73,207,4.6,30,115.985196399104,7.02362016111601,4.26764031244403,13,69,1013,14.7,9,3,29,9.7,0,72,1042,14.5,9,"0"
"4","terrance copper",72,208,4.53,35.5,116,7.34,4.31,12,87,897,10.3,2,3,14,4.7,0,90,911,10.1,2,"0"
"5","jerricho cotchery",72,212,4.54,36,121,6.93,3.91,13,86,1369,15.9,10,7,32,4.6,0,93,1401,15.1,10,"1"
"6","devard darling",73,213,4.52,37,129,6.97033617644692,4.23685738143373,13,50,830,16.6,7,1,5,5,0,51,835,16.4,7,"0"
"7","larry fitzgerald",75,225,4.48,35.9518462884931,123.473189746195,6.99140315569182,4.21375184693559,13,92,1672,18.2,22,1,7,7,0,93,1679,18.1,22,"0"
"8","carlos francis",69,198,4.33,38.5,114,6.97,4.06,13,75,1177,15.7,9,8,42,5.3,0,83,1219,14.7,9,"1"
"9","d j  hackett",74,199,4.53,41,131,6.79,4.08,13,18,211,11.7,4,0,0,0,0,18,211,11.7,4,"1"
"10","derrick hamilton",75,196,4.54,34.9071295007844,121.63837571223,6.94612321375398,4.2071826646793,13,62,1026,16.5,10,17,111,6.5,0,79,1137,14.4,10,"1"
"11","devery henderson",71,198,4.41,36.2235682732507,122.011703113989,6.92578121245528,4.19768790537337,14,53,861,16.2,11,8,37,4.6,0,61,898,14.7,11,"1"
"12","justin jenkins",71,213,4.6,35,123,7.47,4.16,12,62,880,14.2,9,0,0,0,0,62,880,14.2,9,"1"
"13","michael jenkins",76,218,4.4,36.3541779631167,124.332741875898,6.97854235567495,4.22111647649169,13,55,834,15.2,7,0,0,0,0,55,834,15.2,7,"1"
"14","kelvin kight",72,213,4.56,34,109,7.18,4.24,13,39,591,15.2,3,1,7,7,0,40,598,15,3,"1"
"15","maurice mann",73,191,4.57,34,118,6.96041785025531,4.23655063023838,8,35,594,17,2,3,8,2.7,0,38,602,15.8,2,"0"
"16","johnnie morant",76,229,4.51,41,130,7.34,4.22,12,46,799,17.4,5,3,15,5,0,49,814,16.6,5,"0"
"17","samie parker",70,179,4.39,36,121.369838824427,6.87119969255163,4.17961330336629,13,77,1088,14.1,7,5,48,9.6,0,82,1136,13.9,7,"0"
"18","derek abney",69,179,4.58,33.5,120,6.89,4.08,12,51,616,12.1,5,11,148,13.5,0,62,764,12.3,5,"1"
"19","p k  sam",75,210,4.54,34.5,121.317868290966,7.04,4.24903534658131,13,50,735,14.7,5,2,4,2,0,52,739,14.2,5,"1"
"20","jonathan smith",70,194,4.78,32.5,114,7.05455372894263,4.35,13,78,1138,14.6,5,15,45,3,0,93,1183,12.7,5,"1"
"21","john standeford",75,197,4.6,32.5,113,6.9,4.08,13,77,1150,14.9,4,0,0,0,0,77,1150,14.9,4,"1"
"22","kendrick starling",73,193,4.49,31.5,119,6.88,3.87,10,28,296,10.6,0,5,12,2.4,1,33,308,9.3,1,"0"
"23","jamaar taylor",73,197,4.46,35.6342896161341,123.442582030187,6.95171708784169,4.21899303707857,6,25,456,18.2,4,2,13,6.5,0,27,469,17.4,4,"1"
"24","sloan thomas",73,203,4.5,35.2066637289806,122.005318089199,6.97108405254825,4.24208034733523,13,20,336,16.8,2,0,0,0,0,20,336,16.8,2,"1"
"25","andrae thurman",71,192,4.54,34.5,121,7.31,4.3,12,61,915,15,3,3,12,4,0,64,927,14.5,3,"0"
"26","darius watts",73,188,4.5,35.1957619447225,121.078876206958,6.91436747299677,4.19132431620585,12,74,968,13.1,11,11,100,9.1,0,85,1068,12.6,11,"0"
"27","ernest wilford",76,226,4.79,40.5,130,6.99079638011855,4.17,13,55,886,16.1,3,0,0,0,0,55,886,16.1,3,"0"
"28","reggie williams",76,229,4.56,34.793369294603,121.449834041756,7.03039736958528,4.24030361968928,12,89,1109,12.5,8,3,11,3.7,0,92,1120,12.2,8,"0"
"29","roy williams",74,212,4.48,35.5626749506963,122.290528442789,6.97338420325819,4.21395616825579,13,70,1079,15.4,9,4,36,9,0,74,1115,15.1,9,"1"
"30","george wilson",72,213,4.63,35,120,7.07,3.98,13,50,900,18,6,0,0,0,0,50,900,18,6,"1"
"31","rashaun woods",74,202,4.47,39,125,6.93,3.97,13,77,1367,17.8,15,0,0,0,0,77,1367,17.8,15,"1"
"32","kevin youngblood",76,213,4.64,34,120.344695200327,7.00982576019953,4.23780733067346,13,70,897,12.8,2,0,0,0,0,70,897,12.8,2,"1"
"33","mark bradley",73,201,4.37,39.5,128,6.96,3.98,13,23,491,21.3,7,4,73,18.3,1,27,564,20.9,8,"1"
"34","reggie brown",74,196,4.45,41.5,128,6.99,3.94,12,53,860,16.2,6,4,35,8.8,0,57,895,15.7,6,"1"
"35","mark clayton",70,193,4.41,36.5,118,6.95,4.07,13,66,876,13.3,8,4,11,2.8,0,70,887,12.7,8,"1"
"36","airese currie",70,186,4.49,38,125,7.05,4.07,11,61,868,14.2,2,6,8,1.3,0,67,876,13.1,2,"1"
"37","braylon edwards",75,211,4.45,35.9284238146722,122.861948730332,6.95515957635569,4.18322896886463,12,97,1330,13.7,15,6,61,10.2,0,103,1391,13.5,15,"1"
"38","craig bragg",73,196,4.46,36,122.655766995431,6.9396655154971,4.21630830357909,9,36,483,13.4,4,1,2,2,0,37,485,13.1,4,"0"
"39","chris henry",76,197,4.5,35.3550751169503,123.29931451477,6.94188331245086,4.21412898087248,11,52,872,16.8,12,1,2,2,0,53,874,16.5,12,"0"
"40","brandon jones",73,210,4.42,37,114,7.03,4.08,13,27,345,12.8,3,0,0,0,0,27,345,12.8,3,"1"
"41","terrence murphy",73,202,4.39,36.2245357134749,122.825153480084,6.94025213181294,4.20207959101609,11,56,721,12.9,3,4,31,7.8,0,60,752,12.5,3,"1"
"42","chase lyman",75,217,4.5,35.639191017929,126.278137463083,7.01348827103189,4.27958442605025,4,14,414,29.6,5,1,13,13,0,15,427,28.5,5,"0"
"43","chad owens",67,183,4.62,37,116,6.7,3.94,13,102,1290,12.6,17,1,0,0,0,103,1290,12.5,17,"0"
"44","roscoe parrish",70,168,4.37,36.3700462674487,122.173329045104,6.84639042763946,4.16701384806609,12,43,693,16.1,8,9,60,6.7,0,52,753,14.5,8,"1"
"45","tab perry",74,229,4.46,34,116,7,4.26904919536115,11,22,375,17,3,0,12,0,1,22,387,17.6,4,"0"
"46","fred gibson",76,196,4.55,38.5,126,7.03,4.1,12,49,801,16.3,7,1,11,11,0,50,812,16.2,7,"1"
"47","courtney roby",72,189,4.41,36.5,126,6.6,3.94,11,55,810,14.7,7,21,135,6.4,2,76,945,12.4,9,"1"
"48","j r  russell",75,206,4.56,34.5,121.432411555155,6.97384760128562,4.23110590938116,13,75,1213,16.2,8,0,0,0,0,75,1213,16.2,8,"0"
"49","craphonso thorpe",73,188,4.38,36.2041127440077,122.90242324421,6.90616651874215,4.19299146838872,11,40,496,12.4,2,0,0,0,0,40,496,12.4,2,"1"
"50","paris warren",72,219,4.71,31.5,115.911694406046,7.05305627239099,4.25734608689503,12,80,1076,13.5,12,28,157,5.6,2,108,1233,11.4,14,"0"
"51","mike williams",77,229,4.56,36.5,123.539852302768,7.00782053048757,4.21533326016776,13,95,1314,13.8,16,3,26,8.7,0,98,1340,13.7,16,"0"
"52","troy williamson",73,203,4.32,37.3046650140789,126.010561190975,6.99,4.23047924276192,11,43,835,19.4,7,4,30,7.5,0,47,865,18.4,7,"1"
"53","david anderson",70,192,4.57,34,116,6.88,4.2,12,86,1221,14.2,8,3,23,7.7,0,89,1244,14,8,"0"
"54","devin aromashodu",74,201,4.35,39,120,7.04,4.16,12,26,494,19,4,0,0,0,0,26,494,19,4,"1"
"55","jason avant",72,212,4.62,37,118,6.97303991118163,4.18047331162188,12,82,1007,12.3,8,0,0,0,0,82,1007,12.3,8,"1"
"56","hank baskett",75,224,4.5,35,119,6.79,4.17,11,67,1071,16,9,0,0,0,0,67,1071,16,9,"0"
"57","jason carter",72,211,4.6,33,116,6.89,4.21,12,36,468,13,0,9,68,7.6,3,45,536,11.9,3,"1"
"58","cory rodgers",72,188,4.58,33.5,110,7.37,4.19,12,52,685,13.2,5,17,41,2.4,5,69,726,10.5,10,"0"
"59","skyler green",69,192,4.53,34,118,6.95219688033962,4.21738019304032,13,32,268,8.4,0,16,126,7.9,0,48,394,8.2,0,"1"
"60","derek hagan",74,208,4.45,36,124,6.88112384817795,4.07,12,77,1210,15.7,8,0,0,0,0,77,1210,15.7,8,"0"
"61","mike hass",73,208,4.59,32,116,6.97,4.14,11,90,1532,17,6,2,18,9,0,92,1550,16.8,6,"0"
"62","devin hester",71,190,4.41,38,124,6.91435142505419,4.19128103325686,10,5,55,11,0,15,94,6.3,0,20,149,7.5,0,"1"
"63","santonio holmes",71,188,4.35,36.8047441710793,123.733335442072,6.88836502496611,4.18141052092253,12,53,977,18.4,11,0,0,0,0,53,977,18.4,11,"1"
"64","chad jackson",73,213,4.32,38.5,122,6.73,3.97,12,88,900,10.2,9,16,89,5.6,2,104,989,9.5,11,"1"
"65","adam jennings",69,181,4.44,37.5,118,6.88,4.12,12,22,278,12.6,3,3,19,6.3,0,25,297,11.9,3,"0"
"66","greg jennings",71,197,4.42,36.5,117,6.68,4.16,11,74,1092,14.8,11,3,12,4,0,77,1104,14.3,11,"0"
"67","brandon marshall",76,229,4.52,37,120,7.00471532279611,4.22403087534076,13,74,1195,16.1,11,1,3,3,0,75,1198,16,11,"0"
"68","anthony mix",76,235,4.48,31.5,111,7.07914869095395,4.28470173178962,12,23,288,12.5,2,0,0,0,0,23,288,12.5,2,"1"
"69","martin nance",76,213,4.55,33.5,112,6.91,4.08,11,81,1107,13.7,14,1,6,6,0,82,1113,13.6,14,"0"
"70","ben obomanu",73,205,4.45,38,116,7.17,4.21,12,33,357,10.8,5,7,147,21,2,40,504,12.6,7,"1"
"71","jonathan orr",74,198,4.44,35.5,119,7.31,4.16,13,40,688,17.2,8,0,0,0,0,40,688,17.2,8,"1"
"72","willie reid",70,188,4.34,37.5,117,7.06,4.26,11,50,634,12.7,1,1,5,5,0,51,639,12.5,1,"1"
"73","brad smith",74,213,4.46,39.5,128,7,4.33,12,1,3,3,0,229,1301,5.7,16,230,1304,5.7,16,"1"
"74","maurice stovall",76,217,4.57,35,122,6.81,4.14,12,69,1149,16.7,11,2,1,0.5,0,71,1150,16.2,11,"0"
"75","todd watkins",74,202,4.4,36,118,7.13,4.24,12,49,678,13.8,9,0,0,0,0,49,678,13.8,9,"0"
"76","brandon williams",69,179,4.48,34.5,115,6.87,4.07,13,59,1095,18.6,6,7,47,6.7,0,66,1142,17.3,6,"1"
"77","demetrius williams",74,197,4.52,38,127,6.84,4.08,12,59,1059,17.9,10,9,58,6.4,1,68,1117,16.4,11,"0"
"78","travis wilson",74,214,4.47,36.5,120,6.7,3.99,9,25,310,12.4,1,2,61,30.5,1,27,371,13.7,2,"1"
"79","aundrae allison",72,198,4.39,37,127,6.9195345353056,4.18608306688611,11,83,1024,12.3,7,7,65,9.3,0,90,1089,12.1,7,"0"
"80","dallas baker",75,208,4.53,36,129,6.69,4.19,14,60,920,15.3,10,0,0,0,0,60,920,15.3,10,"1"
