Player,Season,Age,Team,G,GS,AV,Pos
Reggie Wayne,2004,26,IND,16,16,15,WR
Marvin Harrison,2004,32,IND,16,16,14,WR
Muhsin Muhammad,2004,31,CAR,16,16,14,WR
Javon Walker,2004,26,GNB,16,12,14,WR
Brandon Stokley,2004,28,IND,16,3,13,WR
Donald Driver,2004,29,GNB,16,11,12,WR
Joe Horn,2004,32,NOR,16,16,12,WR
Terrell Owens,2004,31,PHI,14,14,12,WR
Drew Bennett,2004,26,TEN,16,16,11,WR
Nate Burleson,2004,23,MIN,16,15,11,WR
Chad Johnson,2004,26,CIN,16,16,11,WR
Eddie Kennison,2004,31,KAN,14,14,11,WR
Eric Moulds,2004,31,BUF,16,16,11,WR
Hines Ward,2004,28,PIT,16,16,11,WR
David Givens,2004,24,NWE,15,12,10,WR
Torry Holt,2004,28,STL,16,16,10,WR
Darrell Jackson,2004,26,SEA,16,16,10,WR
Andre Johnson,2004,23,HOU,16,16,10,WR
Ashley Lelie,2004,24,DEN,16,16,10,WR
Derrick Mason,2004,30,TEN,16,16,10,WR
Eric Parker,2004,25,SDG,15,13,10,WR
David Patten,2004,30,NWE,16,11,10,WR
Rod Smith,2004,34,DEN,16,16,10,WR
Isaac Bruce,2004,32,STL,16,16,9,WR
Michael Clayton,2004,22,TAM,16,13,9,WR
Lee Evans,2004,23,BUF,16,11,9,WR
T.J. Houshmandzadeh,2004,27,CIN,16,13,9,WR
Jerry Porter,2004,26,OAK,16,16,9,WR
Jimmy Smith,2004,35,JAX,16,16,9,WR
Plaxico Burress,2004,27,PIT,11,11,8,WR
Keyshawn Johnson,2004,32,DAL,16,16,8,WR
Justin McCareins,2004,26,NYJ,16,16,8,WR
Johnnie Morton,2004,33,KAN,13,12,8,WR
Randy Moss,2004,27,MIN,13,13,8,WR
Santana Moss,2004,25,NYJ,15,14,8,WR
Chris Chambers,2004,26,MIA,15,15,7,WR
Keary Colbert,2004,22,CAR,15,15,7,WR
Laveranues Coles,2004,27,WAS,16,16,7,WR
Dennis Northcutt,2004,27,CLE,16,11,7,WR
Todd Pinkston,2004,27,PHI,16,16,7,WR
Antwaan Randle El,2004,25,PIT,16,7,7,WR
Marcus Robinson,2004,29,MIN,16,7,7,WR
Donte' Stallworth,2004,24,NOR,16,10,7,WR
Amani Toomer,2004,30,NYG,15,14,7,WR
Roy Williams,2004,23,DET,14,12,7,WR
Antonio Bryant,2004,23,"CLE,DAL",15,8,6,WR
Ronald Curry,2004,25,OAK,12,3,6,WR
Larry Fitzgerald,2004,21,ARI,16,16,6,WR
Jabar Gaffney,2004,24,HOU,16,12,6,WR
Peerless Price,2004,28,ATL,16,15,6,WR
Anquan Boldin,2004,24,ARI,10,9,5,WR
Marty Booker,2004,28,MIA,15,15,5,WR
Deion Branch,2004,25,NWE,9,9,5,WR
Reche Caldwell,2004,25,SDG,6,6,5,WR
Doug Gabriel,2004,24,OAK,16,5,5,WR
Rod Gardner,2004,27,WAS,16,14,5,WR
Az-Zahir Hakim,2004,27,DET,12,5,5,WR
Dante Hall,2004,26,KAN,16,6,5,WR
Keenan McCardell,2004,34,SDG,7,6,5,WR
Jerome Pathon,2004,29,NOR,15,7,5,WR
Ricky Proehl,2004,36,CAR,16,3,5,WR
Cedrick Wilson,2004,26,SFO,15,15,5,WR
Derick Armstrong,2004,25,HOU,14,1,4,WR
Corey Bradford,2004,29,HOU,15,10,4,WR
Kelly Campbell,2004,24,MIN,16,3,4,WR
Wayne Chrebet,2004,31,NYJ,16,1,4,WR
Eddie Drummond,2004,24,DET,11,1,4,WR
Troy Edwards,2004,27,JAX,16,4,4,WR
Bobby Engram,2004,31,SEA,13,7,4,WR
Robert Ferguson,2004,25,GNB,13,5,4,WR
Joey Galloway,2004,33,TAM,10,7,4,WR
Ike Hilliard,2004,28,NYG,16,15,4,WR
Bryant Johnson,2004,23,ARI,16,11,4,WR
Brandon Lloyd,2004,23,SFO,13,13,4,WR
Freddie Mitchell,2004,26,PHI,16,9,4,WR
Kassim Osgood,2004,24,SDG,16,7,4,WR
Jerry Rice,2004,42,"OAK,SEA",17,14,4,WR
