Player,Season,Team,G,GS,Pos
Charlie Adams,2004,DEN,1,0,WR
Deion Branch,2004,NWE,3,3,WR
Troy Brown,2004,NWE,3,1,WR/DB
Isaac Bruce,2004,STL,1,1,WR
Nate Burleson,2004,MIN,2,2,WR
Plaxico Burress,2004,PIT,2,2,WR
Kelly Campbell,2004,MIN,2,0,WR
Jonathan Carter,2004,NYJ,1,0,WR
Antonio Chatman,2004,GNB,1,0,WR
Wayne Chrebet,2004,NYJ,1,0,WR
Jerricho Cotchery,2004,NYJ,2,0,WR
Kevin Curtis,2004,STL,2,2,WR
Donald Driver,2004,GNB,1,1,WR
Tim Dwight,2004,SDG,1,0,WR
Bobby Engram,2004,SEA,1,1,WR
Brian Finneran,2004,ATL,2,0,WR
Malcom Floyd,2004,SDG,1,0,WR
Mike Furrey,2004,STL,2,0,WR
David Givens,2004,NWE,3,2,WR
Marvin Harrison,2004,IND,2,2,WR
Torry Holt,2004,STL,2,2,WR
Darrell Jackson,2004,SEA,1,1,WR
Michael Jenkins,2004,ATL,2,0,WR
Bethel Johnson,2004,NWE,3,0,WR
Ashley Lelie,2004,DEN,1,1,WR
Greg Lewis,2004,PHI,3,1,WR
Dane Looker,2004,STL,2,0,WR
Triandos Luke,2004,DEN,1,0,WR
Lee Mays,2004,PIT,2,0,WR
Justin McCareins,2004,NYJ,2,2,WR
Keenan McCardell,2004,SDG,1,1,WR
Shaun McDonald,2004,STL,2,0,WR
Billy McMullen,2004,PHI,2,0,WR
Freddie Mitchell,2004,PHI,3,2,WR
Sean Morey,2004,PIT,2,0,WR
Randy Moss,2004,MIN,2,2,WR
Santana Moss,2004,NYJ,2,2,WR
Kassim Osgood,2004,SDG,1,0,WR
Terrell Owens,2004,PHI,1,1,WR
Eric Parker,2004,SDG,1,1,WR
David Patten,2004,NWE,3,0,WR
Todd Pinkston,2004,PHI,3,3,WR
Peerless Price,2004,ATL,2,2,WR
Antwaan Randle El,2004,PIT,2,0,WR
Jerry Rice,2004,SEA,1,1,WR
Koren Robinson,2004,SEA,1,0,WR
Marcus Robinson,2004,MIN,2,2,WR
Rod Smith,2004,DEN,1,1,WR
Brandon Stokley,2004,IND,2,0,WR
Andrae Thurman,2004,GNB,1,0,WR
Javon Walker,2004,GNB,1,1,WR
Troy Walters,2004,IND,2,0,WR
Hines Ward,2004,PIT,2,2,WR
Darius Watts,2004,DEN,1,0,WR
Reggie Wayne,2004,IND,2,2,WR
Dez White,2004,ATL,2,2,WR
Jason Willis,2004,SEA,1,0,WR
Charlie Adams,2005,DEN,2,0,WR
Eddie Berlin,2005,CHI,1,0,WR
Bernard Berrian,2005,CHI,1,0,WR
Deion Branch,2005,NWE,2,2,WR
Antonio Brown,2005,WAS,2,0,WR
Troy Brown,2005,NWE,2,1,WR/DB
Plaxico Burress,2005,NYG,1,1,WR
Drew Carter,2005,CAR,3,0,WR
Keary Colbert,2005,CAR,3,3,WR
Andre' Davis,2005,NWE,2,0,WR
Todd Devoe,2005,DEN,2,0,WR
Tim Dwight,2005,NWE,2,0,WR
Bobby Engram,2005,SEA,3,3,WR
Jimmy Farris,2005,WAS,1,0,WR
Justin Gage,2005,CHI,1,1,WR
Joey Galloway,2005,TAM,1,1,WR
David Givens,2005,NWE,2,2,WR
D.J. Hackett,2005,SEA,3,0,WR
Karl Hankton,2005,CAR,3,0,WR
Marvin Harrison,2005,IND,1,1,WR
Chris Henry,2005,CIN,1,0,WR
Ike Hilliard,2005,TAM,1,0,WR
T.J. Houshmandzadeh,2005,CIN,1,1,WR
Darrell Jackson,2005,SEA,3,3,WR
Taylor Jacobs,2005,WAS,2,0,WR
Chad Johnson,2005,CIN,1,1,WR
Matt Jones,2005,JAX,1,0,WR
Mark Jones,2005,TAM,1,0,WR
Joe Jurevicius,2005,SEA,3,3,WR
Ashley Lelie,2005,DEN,2,1,WR
Sean Morey,2005,PIT,4,0,WR
Quincy Morgan,2005,PIT,1,0,WR
Santana Moss,2005,WAS,2,2,WR
Muhsin Muhammad,2005,CHI,1,1,WR
Tab Perry,2005,CIN,1,0,WR
Ricky Proehl,2005,CAR,3,0,WR
Antwaan Randle El,2005,PIT,4,4,WR
Edell Shepherd,2005,TAM,1,0,WR
Jimmy Smith,2005,JAX,1,1,WR
Rod Smith,2005,DEN,2,2,WR
Steve Smith Sr.,2005,CAR,3,3,WR
Brandon Stokley,2005,IND,1,0,WR
James Thrash,2005,WAS,1,1,WR
Amani Toomer,2005,NYG,1,1,WR
David Tyree,2005,NYG,1,1,WR
Kevin Walter,2005,CIN,1,0,WR
Troy Walters,2005,IND,1,0,WR
Hines Ward,2005,PIT,4,4,WR
Peter Warrick,2005,SEA,2,0,WR
Nate Washington,2005,PIT,3,0,WR
Reggie Wayne,2005,IND,1,1,WR
Ernest Wilford,2005,JAX,1,1,WR
Reggie Williams,2005,JAX,1,0,WR
Cedrick Wilson,2005,PIT,4,0,WR
Miles Austin,2006,DAL,1,0,WR
Jason Avant,2006,PHI,2,0,WR
Alex Bannister,2006,BAL,1,0,WR
Hank Baskett,2006,PHI,2,0,WR
Bernard Berrian,2006,CHI,3,3,WR
Mark Bradley,2006,CHI,1,0,WR
Deion Branch,2006,SEA,2,2,WR
Reggie Brown,2006,PHI,2,2,WR
Troy Brown,2006,NWE,3,1,WR
Nate Burleson,2006,SEA,2,0,WR
Plaxico Burress,2006,NYG,1,1,WR
Reche Caldwell,2006,NWE,3,3,WR
Greg Camarillo,2006,SDG,1,0,WR
Tim Carter,2006,NYG,1,1,WR
Mark Clayton,2006,BAL,1,0,WR
Laveranues Coles,2006,NYJ,1,1,WR
Marques Colston,2006,NOR,2,2,WR
Terrance Copper,2006,NOR,2,1,WR
Jerricho Cotchery,2006,NYJ,1,1,WR
Patrick Crayton,2006,DAL,1,0,WR
Rashied Davis,2006,CHI,3,0,WR
Bobby Engram,2006,SEA,2,1,WR
Jabar Gaffney,2006,NWE,3,3,WR
Justin Gage,2006,CHI,1,0,WR
Rod Gardner,2006,KAN,1,0,WR
Terry Glenn,2006,DAL,1,1,WR
D.J. Hackett,2006,SEA,1,0,WR
Dante Hall,2006,KAN,1,0,WR
Marvin Harrison,2006,IND,4,4,WR
Devery Henderson,2006,NOR,2,1,WR
Sam Hurd,2006,DAL,1,0,WR
Chad Jackson,2006,NWE,2,0,WR
Darrell Jackson,2006,SEA,2,1,WR
Vincent Jackson,2006,SDG,1,1,WR
Jamal Jones,2006,NOR,2,0,WR
Eddie Kennison,2006,KAN,1,1,WR
Kelvin Kight,2006,NWE,2,0,WR
Greg Lewis,2006,PHI,2,0,WR
Michael Lewis,2006,NOR,2,0,WR
Derrick Mason,2006,BAL,1,1,WR
Justin McCareins,2006,NYJ,1,1,WR
Keenan McCardell,2006,SDG,1,0,WR
Aaron Moorehead,2006,IND,4,0,WR
Sinorice Moss,2006,NYG,1,0,WR
Muhsin Muhammad,2006,CHI,3,3,WR
Kassim Osgood,2006,SDG,1,0,WR
Terrell Owens,2006,DAL,1,1,WR
Eric Parker,2006,SDG,1,1,WR
Samie Parker,2006,KAN,1,1,WR
Brad Smith,2006,NYJ,1,0,WR/QB
Donte' Stallworth,2006,PHI,2,2,WR
David Tyree,2006,NYG,1,0,WR
Reggie Wayne,2006,IND,4,4,WR
Jeff Webb,2006,KAN,1,0,WR
Terrence Wilkins,2006,IND,4,0,WR
Demetrius Williams,2006,BAL,1,0,WR
Wallace Wright,2006,NYJ,1,0,WR
Devin Aromashodu,2007,IND,1,0,WR
Miles Austin,2007,DAL,1,0,WR
Deion Branch,2007,SEA,1,0,WR
Nate Burleson,2007,SEA,2,1,WR
Plaxico Burress,2007,NYG,4,4,WR
Reche Caldwell,2007,WAS,1,0,WR
Chris Chambers,2007,SDG,3,2,WR
Michael Clayton,2007,TAM,1,0,WR
Patrick Crayton,2007,DAL,1,1,WR
Chris Davis,2007,TEN,1,0,WR
Craig Davis,2007,SDG,3,0,WR
Donald Driver,2007,GNB,2,2,WR
Biren Ealy,2007,TEN,1,0,WR
Bobby Engram,2007,SEA,2,1,WR
Jabar Gaffney,2007,NWE,3,1,WR
Justin Gage,2007,TEN,1,1,WR
Joey Galloway,2007,TAM,1,1,WR
Terry Glenn,2007,DAL,1,0,WR
Anthony Gonzalez,2007,IND,1,0,WR
