Year,School,Conf,OSRS,DSRS,SRS
2003,USC,Pac-10,16.29,6.85,23.14
2003,LSU,SEC (West),6.12,14.73,20.85
2003,Oklahoma,Big 12 (South),8.33,11.95,20.27
2003,Florida State,ACC,7.01,10.74,17.75
2003,Georgia,SEC (East),5.73,11.74,17.46
2003,Michigan,Big Ten,6.21,9.88,16.10
2003,Kansas State,Big 12 (North),8.03,7.72,15.74
2003,Texas,Big 12 (South),7.66,7.70,15.35
2003,Iowa,Big Ten,4.72,9.94,14.66
2003,Miami (FL),Big East,2.43,12.04,14.47
2003,Miami (OH),MAC (East),9.63,4.59,14.21
2003,Ohio State,Big Ten,4.78,9.22,14.00
2003,Maryland,ACC,2.91,10.00,12.92
2003,Arkansas,SEC (West),9.34,3.33,12.67
2003,Washington State,Pac-10,6.16,6.15,12.31
2003,Minnesota,Big Ten,10.99,0.89,11.88
2003,Tennessee,SEC (East),4.50,7.03,11.53
2003,Nebraska,Big 12 (North),0.31,10.87,11.18
2003,Ole Miss,SEC (West),7.02,3.97,10.99
2003,Purdue,Big Ten,3.49,7.30,10.79
2003,Florida,SEC (East),5.30,5.37,10.67
2003,Clemson,ACC,2.22,8.27,10.49
2003,North Carolina State,ACC,13.25,-2.84,10.41
2003,Virginia,ACC,3.90,6.25,10.15
2003,Utah,MWC,5.51,4.50,10.01
2003,California,Pac-10,8.29,1.44,9.73
2003,Oklahoma State,Big 12 (South),6.96,2.36,9.32
2003,Boise State,WAC,4.70,4.23,8.92
2003,Virginia Tech,Big East,7.25,1.66,8.91
2003,Auburn,SEC (West),-2.34,10.43,8.09
2003,Oregon State,Pac-10,6.51,1.47,7.98
2003,Michigan State,Big Ten,4.22,3.73,7.95
2003,Texas Tech,Big 12 (South),14.67,-7.17,7.50
2003,West Virginia,Big East,3.78,2.73,6.51
2003,Missouri,Big 12 (North),2.45,4.00,6.45
2003,Wisconsin,Big Ten,4.13,2.32,6.44
2003,Pitt,Big East,4.29,1.81,6.10
2003,Boston College,Big East,5.16,0.53,5.69
2003,Georgia Tech,ACC,-1.42,7.02,5.60
2003,Oregon,Pac-10,2.92,2.40,5.32
2003,Alabama,SEC (West),3.95,1.32,5.27
2003,Colorado State,MWC,4.64,0.27,4.91
2003,Bowling Green,MAC (West),3.06,1.84,4.90
2003,New Mexico,MWC,2.14,2.60,4.74
2003,Wake Forest,ACC,5.34,-1.14,4.19
2003,Syracuse,Big East,0.96,3.15,4.11
2003,Connecticut,Ind,3.89,-0.15,3.73
2003,Southern Mississippi,CUSA,-4.76,8.34,3.58
2003,Memphis,CUSA,0.35,2.96,3.31
2003,Washington,Pac-10,1.82,1.49,3.30
2003,South Carolina,SEC (East),1.18,2.09,3.27
2003,Notre Dame,Ind,-1.36,4.48,3.12
2003,Texas Christian,CUSA,2.55,0.28,2.83
2003,Northern Illinois,MAC (West),3.57,-1.02,2.54
2003,Marshall,MAC (East),1.65,0.78,2.42
2003,Colorado,Big 12 (North),5.33,-3.88,1.45
2003,Louisville,CUSA,5.58,-4.26,1.32
2003,Air Force,MWC,0.10,1.04,1.14
2003,Penn State,Big Ten,-4.66,5.42,0.77
2003,UCLA,Pac-10,-2.81,3.37,0.56
2003,Toledo,MAC (West),2.27,-1.88,0.39
2003,Hawaii,WAC,6.60,-6.39,0.21
2003,Northwestern,Big Ten,-1.79,1.88,0.09
2003,Kentucky,SEC (East),2.36,-2.52,-0.16
2003,Nevada-Las Vegas,MWC,-3.06,2.80,-0.26
2003,Kansas,Big 12 (North),3.99,-4.58,-0.59
2003,Tulsa,WAC,1.09,-1.72,-0.63
2003,North Texas,Sun Belt,-1.08,0.28,-0.81
2003,Arizona State,Pac-10,-0.01,-0.85,-0.86
2003,Rutgers,Big East,2.96,-4.61,-1.65
2003,Fresno State,WAC,-3.18,1.50,-1.69
2003,Navy,Ind,-1.11,-0.62,-1.73
2003,San Diego State,MWC,-7.19,4.88,-2.31
2003,Stanford,Pac-10,-5.48,2.66,-2.82
2003,BYU,MWC,-5.08,2.13,-2.95
2003,Duke,ACC,-4.87,1.85,-3.02
2003,Texas A&M,Big 12 (South),0.09,-3.55,-3.46
2003,South Florida,CUSA,-3.39,-0.59,-3.98
2003,Houston,CUSA,6.27,-10.50,-4.23
2003,North Carolina,ACC,4.82,-9.97,-5.15
2003,Louisiana Tech,WAC,0.17,-5.48,-5.31
2003,Nevada,WAC,-2.17,-3.30,-5.46
2003,UAB,CUSA,-4.53,-0.94,-5.47
2003,Wyoming,MWC,0.08,-5.67,-5.59
2003,Vanderbilt,SEC (East),-4.07,-1.78,-5.85
2003,Cincinnati,CUSA,-1.12,-4.81,-5.93
2003,Akron,MAC (East),3.77,-9.73,-5.96
2003,Western Michigan,MAC (West),-0.38,-6.02,-6.40
2003,Rice,WAC,-0.68,-6.28,-6.96
2003,Troy,Ind,-10.71,3.56,-7.15
2003,Arizona,Pac-10,-7.87,-0.12,-7.99
2003,Illinois,Big Ten,-4.97,-3.65,-8.63
2003,Kent State,MAC (East),0.81,-9.46,-8.65
2003,Tulane,CUSA,1.96,-11.13,-9.17
2003,Baylor,Big 12 (South),-8.28,-1.18,-9.46
2003,Mississippi State,SEC (West),-4.28,-5.25,-9.53
2003,Indiana,Big Ten,-7.83,-2.05,-9.87
2003,Iowa State,Big 12 (North),-8.73,-1.55,-10.27
2003,Ball State,MAC (West),-5.50,-4.81,-10.31
2003,Middle Tennessee State,Sun Belt,2.34,-12.79,-10.45
2003,San Jose State,WAC,-4.35,-6.32,-10.67
2003,Utah State,Sun Belt,-6.85,-3.90,-10.75
2003,New Mexico State,Sun Belt,-7.48,-3.65,-11.13
2003,Temple,Big East,-5.54,-6.41,-11.95
2003,Louisiana,Sun Belt,-6.43,-5.62,-12.05
2003,Ohio,MAC (East),-6.69,-6.85,-13.54
2003,Idaho,Sun Belt,-8.56,-5.68,-14.24
2003,Arkansas State,Sun Belt,-10.32,-4.18,-14.49
2003,East Carolina,CUSA,-8.70,-7.32,-16.02
2003,UCF,MAC (East),-9.45,-6.92,-16.37
2003,Central Michigan,MAC (West),-4.59,-12.34,-16.93
2003,Eastern Michigan,MAC (West),-11.14,-6.66,-17.79
2003,Louisiana-Monroe,Sun Belt,-4.60,-13.59,-18.19
2003,Buffalo,MAC (East),-12.56,-5.90,-18.46
2003,SMU,WAC,-16.68,-1.86,-18.53
2003,UTEP,WAC,-6.36,-14.43,-20.78
2003,Army,CUSA,-12.72,-9.43,-22.15
2004,USC,Pac-10,11.18,14.88,26.06
2004,Utah,MWC,16.73,5.03,21.76
2004,California,Pac-10,9.23,12.03,21.26
2004,Oklahoma,Big 12 (South),8.00,13.24,21.23
2004,Auburn,SEC (West),6.69,13.18,19.86
2004,Texas,Big 12 (South),9.01,10.26,19.27
2004,Miami (FL),ACC,8.34,9.69,18.03
2004,Louisville,CUSA,10.61,6.60,17.21
