"","player","forty","vertical","broad_jump","three_cone","shuttle"
"1","rod rutherford",4.79,30.5,110,7.66,4.41
"2","ell roberson",4.6,33.4199384374717,116.413550254739,6.9963871331964,4.234924200474
"3","scott rislov",4.95,30,119,7.44,4.34
"4","robert kent",4.87,26.5,110,7.69,4.22
"5","jason fife",4.83,30.5,113,7.28,4.18
"6","casey clausen",4.95,29.6088739718165,108.325807535025,7.21763542750178,4.39691209875128
"7","b j  symons",4.9,30.1533117526244,109.481199352127,7.18602852831529,4.37377097042595
"8","craig krenzel",4.84,28,112,7.22,4.08
"9","jared lorenzen",5.28,26.0155846184845,100.700221542152,7.42624096213257,4.54964354569842
"10","j p  losman",4.73,33,116,7.04440837487669,4.28225431165214
"11","eli manning",4.9,30.1533117526244,109.481199352127,7.18602852831529,4.37377097042595
"12","matt mauck",4.79,31.3510748704017,112.023061349752,7.11649335010503,4.32286048811023
"13","luke mccown",4.71,37.5,125,6.74,4.21
"14","john navarre",5.19,26.5,100,7.73,4.46
"15","cody pickett",4.79,30.5,109,7.19,4.3
"16","jeff smoker",4.95,26.5,101,7.65,4.36
"17","josh harris",4.78,31,115,7.08724844887366,4.3096171091321
"18","philip rivers",5.08,28.193335741716,105.32178881056,7.29981336538664,4.45707903239712
"19","ben roethlisberger",4.75,31.786625095048,112.947374803433,7.09120783075585,4.30434758544997
"20","matt schaub",5.04,30.5,110,7.65,4.62
"21","bradlee van pelt",4.98,33.5,115,6.89,4.11
"22","craig ochs",4.87,28.5,104,7.03,4.13
"23","dustin long",4.67,30.5,108,6.77,4.08
"24","josh haldi",4.64,33,113,6.89,4.07
"25","gino guidugli",5,29,103,7.41,4.52
"26","ben dougherty",4.72,33,108,7.41,4.34
"27","timmy chang",5.08,29,111,7.24,4.2
"28","jared allen",4.93,27.5,106,7.29,4.39
"29","bryan randall",4.71,33,113,6.97,4.08
"30","chris rix",4.7,33.5,116,7.53,4.53
"31","jason white",4.9,31,108,7.28,4.19
"32","derek anderson",5.03,29,103,7.67,4.62
"33","brock berlin",4.83,29,109,7.49,4.54
"34","jason campbell",4.71,32.2221753196943,113.871688257115,7.06592231140666,4.28583468278971
"35","stefan lefors",4.56,31,111,7.03,4.09
"36","ryan fitzpatrick",4.86,30.5,105,7.09,4.07
"37","charlie frye",4.79,33,113,6.94,4.08
"38","adrian mcpherson",4.71,34.5,128,6.93,4.08
"39","dan orlovsky",4.93,29.5,107,7.33,4.39
"40","kyle orton",5.06,26.5,103.529587177397,7.38,4.52
"41","aaron rodgers",4.71,34.5,110,7.38,4.40387184614393
"42","david greene",4.78,31.5,115,7,4.1
"43","alex smith",4.71,32,113,6.82,3.96
"44","andrew walter",4.86,30.5888619772707,110.405512805809,7.16074300896611,4.35525806776569
"45","quinton porter",4.67,33.5,116,6.76,4.1
"46","paul pinegar",5.1,29,110,7.36,4.49
"47","drew olson",5.09,23,97,7.34848808823875,4.42
"48","barrick nealy",4.57,32.5,114,6.94,4.26
"49","erik meyer",4.67,32.5,112,6.83,4.12
"50","travis lulay",4.71,35,111,6.93,4.07
"51","darrell hackney",4.82,33,110,7.62,4.69
"52","bruce eugene",5.12,27.5,94,7.97,4.76
"53","kent smith",4.57,35,122,7.41,4.47
"54","d j  shockley",4.56,37.5,121,7.07,4.17
"55","brett basanez",4.76,34,114,6.75,4.22
"56","kellen clemens",4.89,30.262199308786,109.712277715548,7.179707148478,4.36914274476089
"57","brodie croyle",4.88,30.5,104,7.34,4.25
"58","jay cutler",4.77,31.6778354964876,112.5937012079,7.1,4.26
"59","bruce gradkowski",4.59,34,107,7.12,4.16
"60","tarvaris jackson",4.69,31.5,107,7.4,4.38
"61","matt leinart",4.9,30.1533117526244,109.481199352127,7.18602852831529,4.37377097042595
"62","ingle martin",4.71,36,111,7.13,4.17
"63","reggie mcneal",4.4,32,121,6.96,4.25
"64","omar jacobs",4.84,32.5,108,7.47,4.29
"65","marcus vick",4.47,36,117,6.94,4.08
"66","charlie whitehurst",4.75,33,112,7,4.11
