"","player","forty","vertical","broad_jump","three_cone","shuttle"
"1","carlos perez",4.78,38,118,7.18732515617683,4.45
"2","james newson",4.76,31.5,116,7.41,4.4269088981046
"3","derek mccoy",4.73,38,128,7.1,4.09
"4","tim manning",4.59,28.5,111,7.24,4.27
"5","tony johnson",4.61,32.5,118,7.16,4.16
"6","b j  johnson",4.5,35.3038435645697,121.248503018792,6.96499962818103,4.24098590433834
"7","lane danielson",4.6,31,117,6.72,3.94
"8","chris collins",4.69,35,112,7.0413855882334,4.26151751533962
"9","maurice brown",4.56,33,117,7.38,4.21
"10","kevin beard",4.46,31,113,6.98459735025923,4.26171158946046
"11","huey whittaker",4.62,37,121,7.06,4.13
"12","carlos wright",4.65,34,122,7.12,4.31
"13","bernard berrian",4.58,38,128,7.34,4.18
"14","drew carter",4.36,36.8208218479627,124.175868828594,6.89749345231557,4.20092961187827
"15","michael clayton",4.67,32.5,116,6.77,4.09
"16","keary colbert",4.6,30,115.087362660293,7.04824391386851,4.30845979766639
"17","terrance copper",4.53,35.5,116,7.34,4.31
"18","jerricho cotchery",4.54,36,121,6.93,3.91
"19","devard darling",4.52,37,129,6.95937140229904,4.2451329415905
"20","lee evans",4.39,34.5,120,6.92836754826436,4.22377306116006
"21","larry fitzgerald",4.48,35.5205547479115,121.666698134478,6.95535588877168,4.23526357684405
"22","carlos francis",4.33,38.5,114,6.97,4.06
"23","d j  hackett",4.53,41,131,6.79,4.08
"24","derrick hamilton",4.54,34.8704211978859,120.41211278742,6.98428710699973,4.25243055932693
"25","devery henderson",4.41,36.279043889608,123.130381039379,6.92160280083895,4.21523543061401
"26","justin jenkins",4.6,35,123,7.47,4.16
"27","michael jenkins",4.4,36.387399481279,123.339478597222,6.91678093113428,4.21237426686686
"28","jeris mcintyre",4.46,29,112,6.98,4.08
"29","kelvin kight",4.56,34,109,7.18,4.24
"30","ryan krause",4.6,33.5,119,6.78,4.16
"31","triandos luke",4.51,38,124,7.06,4.17
"32","maurice mann",4.57,34,118,7.00315866562996,4.26284355771085
"33","clarence moore",4.55,34,122,6.84,4.16
"34","johnnie morant",4.51,41,130,7.34,4.22
"35","samie parker",4.39,36,123.070455940088,6.91607349975716,4.21407823282052
"36","derek abney",4.58,33.5,120,6.89,4.08
"37","p k  sam",4.54,34.5,120.083029040893,7.04,4.27130855661804
"38","jonathan smith",4.78,32.5,114,7.12305006286685,4.35
"39","john standeford",4.6,32.5,113,6.9,4.08
"40","kendrick starling",4.49,31.5,119,6.88,3.87
"41","jamaar taylor",4.46,35.7372659312534,122.084893250164,6.94571214936233,4.22954124934975
"42","sloan thomas",4.5,35.3038435645697,121.248503018792,6.96499962818103,4.24098590433834
"43","andrae thurman",4.54,34.5,121,7.31,4.3
"44","darius watts",4.5,35.3038435645697,121.248503018792,6.96499962818103,4.24098590433834
"45","ernest wilford",4.79,40.5,130,6.96883379388566,4.17
"46","reggie williams",4.56,34.6537100145441,119.993917671734,6.99393084640908,4.25815288682123
"47","roy williams",4.48,35.5205547479115,121.666698134478,6.95535588877168,4.23526357684405
"48","george wilson",4.63,35,120,7.07,3.98
"49","rashaun woods",4.47,39,125,6.93,3.97
"50","kevin youngblood",4.64,34,118.526690360421,7.03073692722825,4.27907955901967
"51","tommy manus",4.55,38,120,7.2,4.34
"52","tony madison",4.52,39,121,7.13,4.3
"53","efrem hill",4.58,37.5,124,7.42,4.07
"54","reggie harrell",4.58,35,115,7.42,4.11
"55","howard gilmore",4.71,36,113,7.56,4.44
"56","charles frederick",4.78,33,108,7.39,4.25
"57","josh davis",4.52,37.5,118,7.19,4.22
"58","dante' ridgeway",4.57,33,117,7.25,4.39
"59","steve savoy",4.62,34.0035764645185,118.739332324676,7.02286206463713,4.27531986930411
