"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","ConfIndicator"
"1","rod rutherford",74,240,4.79,30.5,110,7.66,4.41,13,247,413,59.8,3679,8.9,9.2,37,14,157.4,136,150,"0"
"2","ell roberson",71,194,4.6,33.0919759841085,41.857512746565,4.24116142654896,3.21441257685867,13,152,294,51.7,2545,8.7,8.5,24,12,143.2,227,975,"1"
"3","scott rislov",73,224,4.95,30,119,7.44,4.34,11,261,437,59.7,3016,6.9,7.2,18,5,129,53,-31,"0"
"4","jason fife",76,226,4.83,30.5,113,7.28,4.18,13,64,120,53.3,879,7.3,6.8,6,4,124.7,42,225,"0"
"5","casey clausen",75,223,4.95,29.7307816682512,109.985030596834,4.4088353198937,3.37567276103734,13,233,412,56.6,2968,7.2,7.5,27,9,134.3,64,-45,"1"
"6","b j  symons",72,210,4.9,30.2109522848023,96.1152581459424,4.37058133994777,3.33771270729562,13,470,719,65.4,5833,8.1,8.2,52,22,151.3,79,143,"1"
"7","craig krenzel",75,228,4.84,28,112,7.22,4.08,14,148,249,59.4,2110,8.5,8.2,12,7,140.9,125,368,"1"
"8","jared lorenzen",75,288,5.28,26.5616555990144,95.3589730965184,4.52258403628508,3.48214628284936,12,191,336,56.8,2221,6.6,6.5,16,8,123.3,89,75,"1"
"9","j p  losman",74,224,4.73,33,116,4.31973619271946,3.29818957039829,12,251,422,59.5,3077,7.3,7.4,33,14,139.9,77,80,"0"
"10","eli manning",77,221,4.9,30.2109522848023,110.663435109253,4.38119351487988,3.35259951084373,13,275,441,62.4,3600,8.2,8.5,29,10,148.1,48,-28,"1"
"11","matt mauck",74,228,4.79,31.2673276412145,102.018540977701,4.34279823502143,3.31256096834608,14,229,358,64,2825,7.9,7.7,28,14,148.2,79,97,"1"
"12","luke mccown",76,208,4.71,37.5,125,6.74,4.21,12,246,432,56.9,3246,7.5,6.9,19,14,128.1,71,-80,"0"
"13","john navarre",78,246,5.19,26.5,100,7.73,4.46,13,270,456,59.2,3331,7.3,7.4,24,10,133.6,48,-91,"1"
"14","cody pickett",75,233,4.79,30.5,109,7.19,4.3,12,257,454,56.6,3043,6.7,6.1,15,13,118.1,80,-61,"0"
"15","jeff smoker",75,223,4.95,26.5,101,7.65,4.36,13,302,488,61.9,3395,7,6.5,21,14,128.8,63,-116,"1"
"16","josh harris",73,238,4.78,31,115,4.28596484411172,3.27779638660391,14,325,494,65.8,3813,7.7,7.7,27,12,143.8,215,830,"0"
"17","philip rivers",77,229,5.08,28.4823380652185,97.3039202965805,4.41400769341859,3.3858167921518,13,348,483,72,4491,9.3,10.1,34,7,170.5,78,109,"1"
"18","ben roethlisberger",77,241,4.75,31.6514641344554,103.172444394023,4.31422318339303,3.29048581950633,14,342,495,69.1,4486,9.1,9.6,37,10,165.8,67,111,"0"
"19","matt schaub",78,243,5.04,30.5,110,7.65,4.62,11,281,403,69.7,2952,7.3,7.1,18,10,141,26,-23,"1"
"20","bradlee van pelt",74,231,4.98,33.5,115,6.89,4.11,13,180,297,60.6,2845,9.6,8.9,19,13,153.4,170,909,"0"
"21","josh haldi",74,215,4.64,33,113,6.89,4.07,9,94,179,52.5,1384,7.7,8.4,15,4,140.6,39,89,"0"
"22","gino guidugli",76,229,5,29,103,7.41,4.52,11,210,342,61.4,2633,7.7,8.2,26,8,146.5,43,90,"0"
"23","timmy chang",73,211,5.08,29,111,7.24,4.2,13,358,602,59.5,4258,7.1,7.4,38,13,135.4,37,15,"0"
"24","jared allen",74,218,4.93,27.5,106,7.29,4.39,12,177,291,60.8,2554,8.8,8.4,13,8,143.8,63,-13,"0"
"25","bryan randall",72,225,4.71,33,113,6.97,4.08,13,170,306,55.6,2264,7.4,7.4,21,9,134.5,136,511,"1"
"26","chris rix",74,214,4.7,33.5,116,7.53,4.53,8,76,149,51,865,5.8,4.1,3,7,97,32,15,"1"
"27","jason white",74,223,4.9,31,108,7.28,4.19,14,278,451,61.6,3846,8.5,9.3,40,10,158.1,42,-150,"1"
"28","derek anderson",78,242,5.03,29,103,7.67,4.62,12,279,515,54.2,3615,7,6.7,29,17,125.1,75,-152,"0"
"29","brock berlin",73,221,4.83,29,109,7.49,4.54,12,195,348,56,2680,7.7,8.2,22,6,138.1,42,-53,"1"
"30","jason campbell",77,230,4.71,32.0356006276962,110.242133620994,4.28672128204646,3.26597390458005,13,188,270,69.6,2700,10,10.3,20,7,172.9,58,30,"1"
"31","stefan lefors",72,208,4.56,31,111,7.03,4.09,12,189,257,73.5,2596,10.1,11.1,20,3,181.7,71,333,"0"
"32","charlie frye",76,225,4.79,33,113,6.94,4.08,11,220,346,63.6,2623,7.6,7.6,18,8,139.8,100,-6,"0"
"33","dan orlovsky",77,225,4.93,29.5,107,7.33,4.39,12,288,457,63,3354,7.3,6.9,23,15,134.7,32,-41,"0"
"34","kyle orton",76,233,5.06,26.5,104.884618481025,7.38,4.52,11,236,389,60.7,3090,7.9,9,31,5,151.1,80,112,"1"
"35","aaron rodgers",74,223,4.71,34.5,110,7.38,4.40897894046483,12,209,316,66.1,2566,8.1,8.5,24,8,154.3,74,126,"0"
"36","david greene",75,226,4.78,31.5,115,7,4.1,12,175,299,58.5,2508,8.4,9.1,20,4,148.4,23,-67,"1"
"37","alex smith",76,217,4.71,32,113,6.82,3.96,12,214,317,67.5,2952,9.3,10.8,32,4,176.5,135,631,"0"
"38","andrew walter",78,233,4.86,30.5950887780431,118.863587109573,4.38106408191475,3.35294535654931,11,244,426,57.3,3150,7.4,7.9,30,9,138.4,58,-112,"0"
"39","quinton porter",77,233,4.67,33.5,116,6.76,4.1,7,136,214,63.6,1357,6.3,5.7,9,7,124.2,31,9,"1"
"40","paul pinegar",77,232,5.1,29,110,7.36,4.49,13,265,416,63.7,3335,8,7.8,30,15,147.6,46,59,"0"
"41","drew olson",74,222,5.09,23,97,7.31255066332708,4.42,12,242,378,64,3198,8.5,9.5,34,6,161.6,50,-48,"0"
"42","darrell hackney",72,239,4.82,33,110,7.62,4.69,11,242,386,62.7,3180,8.2,8,22,12,144.5,51,105,"0"
"43","kent smith",77,216,4.57,35,122,7.41,4.47,11,255,420,60.7,2799,6.7,6.8,16,6,126.4,157,443,"0"
"44","d j  shockley",73,214,4.56,37.5,121,7.07,4.17,12,173,310,55.8,2588,8.3,9.2,24,5,148.3,78,322,"1"
"45","brett basanez",73,220,4.76,34,114,6.75,4.22,12,314,497,63.2,3622,7.3,7.4,21,8,135.1,113,423,"1"
"46","kellen clemens",74,224,4.89,30.3069864081125,93.4645626829701,4.366612272754,3.33697773404543,8,185,289,64,2406,8.3,9,19,4,152.9,69,228,"0"
"47","brodie croyle",74,205,4.88,30.5,104,7.34,4.25,12,202,339,59.6,2499,7.4,7.7,14,4,132.8,64,-156,"1"
"48","jay cutler",75,226,4.77,32.2267012446561,115.554031144388,7.1,4.26,11,273,462,59.1,3073,6.7,6.7,21,9,126.1,106,215,"1"
"49","bruce gradkowski",73,217,4.59,34,107,7.12,4.16,11,207,332,62.3,2469,7.4,7.6,29,12,146.4,61,291,"0"
"50","tarvaris jackson",74,226,4.69,31.5,107,7.4,4.38,8,14,39,35.9,143,3.7,1.9,1,2,64.9,14,-16,"1"
"51","matt leinart",77,223,4.9,30.2109522848023,106.074809415125,4.3683595283385,3.34149915242001,13,283,431,65.7,3815,8.9,9.3,28,8,157.7,51,36,"0"
"52","reggie mcneal",74,198,4.4,32,121,6.96,4.25,10,141,265,53.2,1963,7.4,7.1,16,9,128.6,96,664,"1"
"53","omar jacobs",76,232,4.84,32.5,108,7.47,4.29,9,195,321,60.7,2591,8.1,8.7,26,7,150.9,40,62,"0"
"54","marcus vick",72,200,4.47,36,117,6.94,4.08,13,177,289,61.2,2393,8.3,7.9,17,10,143.3,147,380,"1"
"55","charlie whitehurst",77,223,4.75,33,112,7,4.11,11,229,340,67.4,2483,7.3,6.6,11,10,133.5,50,26,"1"
"56","vince young",77,229,4.48,34.244385463831,41.5697639985295,4.21355273525318,3.19385349905283,13,212,325,65.2,3036,9.3,9.6,26,10,163.9,155,1050,"1"
"57","james pinkney",74,208,4.79,34,112,7.35,4.49,13,232,397,58.4,2783,7,6.5,12,10,122.3,105,216,"0"
"58","chris leak",72,209,4.74,32.5,113,7.03,4.41,14,232,365,63.6,2942,8.1,7.7,23,13,144.9,77,30,"1"
"59","luke getsy",74,222,4.96,32.5,106,6.95,4.46,12,199,380,52.4,2662,7,6.7,18,11,121.1,58,-142,"0"
"60","john stocco",74,207,5.08,27,104,7.29,4.6,11,158,268,59,2185,8.2,8.4,17,6,143.9,48,-79,"1"
"61","zac taylor",74,216,5.06,30.5,110,7.39,4.6,14,233,391,59.6,3197,8.2,8.6,26,8,146.1,60,-32,"1"
"62","jared zabransky",74,219,4.56,35.5,111,6.78,4.08,13,191,288,66.3,2587,9,9.3,23,8,162.6,98,197,"0"
"63","john beck",74,215,4.75,29.5,111,6.81,4.17,12,289,417,69.3,3885,9.3,10,32,8,169.1,50,-8,"0"
"64","trent edwards",76,231,4.76,31.5375260707589,112.461757908749,7.14,4.46,11,168,268,62.7,1934,7.2,7.3,17,7,139,84,153,"0"
"65","matt gutierrez",76,232,5,29.5,108,6.99,4.28,8,14,22,63.6,133,6,6,0,0,114.4,7,3,"1"
"66","kevin kolb",75,218,4.85,32.5,112,6.94,4.44,14,292,432,67.6,3809,8.8,9.8,30,4,162.7,111,154,"0"
"67","tyler palko",73,215,4.83,31.5,112,7.05,4.36,12,220,322,68.3,2871,8.9,9.2,25,9,163.2,66,77,"0"
"68","jordan palmer",78,231,4.98,30.5,104,7.32,4.58,12,282,429,65.7,3595,8.4,8.1,26,14,149.6,47,-86,"0"
"69","brady quinn",76,232,4.73,31.8435323810758,106.438669390566,4.33409074113372,3.30638473123786,13,289,467,61.9,3426,7.3,8.2,37,7,146.7,82,71,"0"
"70","jeff rowe",77,226,4.91,29.5,114,7.16,4.42,12,241,389,62,2925,7.5,7.4,21,10,137.8,119,244,"0"
"71","jamarcus russell",77,265,4.83,30.8831911479737,112.074083706416,4.36309970166497,3.33466413305812,12,188,311,60.5,2443,7.9,7.5,15,9,136.6,61,-22,"1"
"72","troy smith",72,225,4.72,31.939566504386,67.0140018952398,4.27695475005646,3.25156556342281,11,149,237,62.9,2282,9.6,10.2,16,4,162.7,136,611,"1"
"73","drew stanton",75,226,4.75,30.5,108,6.77,4.41,11,164,269,61,1807,6.7,5.9,12,10,124.7,110,445,"1"
"74","isaiah stanback",74,216,4.6,33.0919759841085,90.3999105298818,4.29489624125585,3.26661565125088,8,101,189,53.4,1325,7,7.4,10,3,126.6,85,350,"0"
"75","t c  ostrander",74,227,4.92,30.0188840381818,121.493705203047,4.41944391653763,3.38373780294239,8,130,229,56.8,1422,6.2,6.2,7,3,116.4,32,-171,"0"
"76","bernard morris",75,223,4.68,24.5,109,4.33370247210553,3.28612903740485,12,253,398,63.6,3149,7.9,7.6,17,10,139.1,130,488,"0"
"77","anthony morelli",76,231,5.07,26.5,108,7.43,4.6,13,234,402,58.2,2651,6.6,6.4,19,10,124.2,48,-13,"1"
"78","sam keller",76,241,4.99,24,107,7.07,4.35,9,205,325,63.1,2422,7.5,6.9,14,10,133.7,25,-78,"1"
"79","paul smith",73,208,4.95,26.5,111,7.02,4.29,14,327,544,60.1,5065,9.3,9.5,47,19,159.8,105,119,"0"
"80","adam tafralis",73,221,4.78,32,108,7.14,4.33,12,251,400,62.8,3022,7.6,7.2,18,11,135.6,76,181,"0"
"81","kyle wright",75,218,4.85,25.5,105,7.34,4.32,10,141,241,58.5,1747,7.2,5.6,12,14,124.2,87,66,"1"
"82","erik ainge",77,225,4.98,21.5,108,7.51,4.6,14,325,519,62.6,3522,6.8,7.1,31,10,135.5,16,-32,"1"
"83","john david booty",74,218,4.82,22.5,99,7.41741701196613,4.58,10,215,340,63.2,2361,6.9,7,23,10,138,23,-106,"0"
"84","colt brennan",74,207,4.79,31.2673276412145,107.9798255621,4.33031221409761,3.30241832751504,12,359,510,70.4,4343,8.5,8.5,38,17,159.8,82,27,"0"
"85","alex brink",74,211,4.96,28,112,7.22,4.19,12,305,503,60.6,3818,7.6,7.3,26,15,135.5,63,34,"0"
"86","brian brohm",75,230,4.81,30,115,7.13,4.55,12,308,473,65.1,4024,8.5,8.6,30,12,152.4,57,-46,"0"
"87","dennis dixon",75,195,4.58,33.2840442307289,73.6014727133781,4.26244527799307,3.23869980451356,10,172,254,67.7,2136,8.4,9.3,20,4,161.2,105,583,"0"
"88","matt flynn",74,231,4.79,28,109,7.21,4.34,12,202,359,56.3,2407,6.7,6.5,21,11,125.8,100,215,"1"
"89","chad henne",75,230,4.92,25.5,106,7.17,4.4,10,162,278,58.3,1938,7,6.7,17,9,130.5,24,-120,"1"
"90","kevin o'connell",77,225,4.61,31,113,7.01,4.38,12,257,439,58.5,3063,7,6.8,15,8,124.8,135,408,"0"
"91","matt ryan",77,228,4.89,30.5287873785992,111.299132487084,7.4,4.51,14,388,654,59.3,4507,6.9,6.5,31,19,127,68,2,"1"
"92","andre woodson",76,229,4.85,30.6911229013533,123.02372908457,4.37629293753293,3.34641446854675,13,327,518,63.1,3709,7.2,7.7,40,11,144.5,69,-193,"1"
"93","chase holbrook",76,242,5.12,27,108,7.93,4.65,12,309,457,67.6,3361,7.4,7.1,25,14,141.3,81,-196,"0"
"94","cullen harper",75,225,4.86,30,105,7.43,4.49,13,221,360,61.4,2601,7.2,6.2,13,14,126.2,54,-140,"1"
"95","tom brandstater",77,220,4.87,28.5,106,6.93,4.37,13,221,371,59.6,2664,7.2,6.7,18,12,129.4,51,-50,"0"
"96","hunter cantwell",76,235,5.22,26,99,7.4,4.59,12,221,377,58.6,2493,6.6,5.6,16,16,119.7,39,-115,"0"
"97","rudy carpenter",74,218,4.89,29,100,7.25,4.47,12,213,351,60.7,2493,7.1,6.9,16,9,130.3,52,-150,"0"
"98","chase daniel",72,218,4.79,33,113.011981021826,7.28,4.31,14,385,528,72.9,4335,8.2,8.2,39,18,159.4,69,281,"1"
"99","nate davis",73,226,4.95,26.5,99,4.38643650877234,3.34788081285975,14,258,401,64.3,3591,9,9.4,26,8,157,66,312,"0"
"100","josh freeman",78,248,4.9,33.5,119,7.11,4.43,12,224,382,58.6,2945,7.7,7.8,20,8,136.5,107,404,"1"
"101","graham harrell",74,223,4.95,29.5,98,7.45,4.56,13,442,626,70.6,5111,8.2,9,45,9,160,41,-15,"1"
"102","brian hoyer",74,215,5.02,32,109,7.1,4.42,13,180,353,51,2404,6.8,6.2,9,9,111.5,43,-94,"1"
"103","stephen mcgee",75,225,4.61,33,112,7.34,4.49,6,56,85,65.9,586,6.9,6.3,2,2,126.9,17,-50,"1"
"104","curtis painter",75,225,4.87,29,102,7,4.48,10,227,379,59.9,2400,6.3,5.7,13,11,118.6,44,10,"1"
"105","mark sanchez",74,227,4.93,32.5,116,7.06,4.21,13,241,366,65.8,3207,8.8,9.4,34,10,164.6,52,16,"0"
"106","matthew stafford",74,225,4.81,30.5,107,7.06,4.47,13,235,383,61.4,3459,9,9.2,25,10,153.5,55,40,"1"
"107","pat white",72,197,4.55,35,117,7.06,4.42,12,180,274,65.7,1842,6.7,7.1,21,7,142.3,191,974,"0"
"108","drew willy",75,215,4.9,30.5,109,7.18,4.45,14,304,468,65,3304,7.1,7.6,25,6,139.3,65,-115,"0"
"109","john parker wilson",73,219,4.75,29.5,105,7.53,4.59,14,187,323,57.9,2273,7,6.5,10,8,122.3,72,-6,"1"
"110","tim hiller",76,229,4.97,32.5,118,7.1,4.54,12,309,514,60.1,3249,6.3,6.1,23,13,122.9,39,-101,"0"
"111","daryll clark",74,235,4.72,31.939566504386,90.5882288630865,4.31625518517262,3.28782609479951,13,192,321,59.8,2592,8.1,8.4,19,6,143.4,79,282,"1"
"112","riley skinner",72,214,5.05,30,101,7.04,4.29,12,264,400,66,3160,7.9,7.9,26,12,147.8,70,56,"1"
"113","jevan snead",75,219,5.04,33,106,7.08,4.33,13,191,351,54.4,2632,7.5,6.1,20,20,124.8,52,101,"1"
"114","sam bradford",76,236,4.79,31.2673276412145,116.328973301368,4.3501503590222,3.32344028373274,3,39,69,56.5,562,8.1,8.7,2,0,134.5,4,-18,"1"
"115","jarrett brown",75,224,4.5,34.5,114,7.24,4.39,13,187,296,63.2,2144,7.2,6.6,11,9,130.2,117,466,"0"
"116","levi brown",75,229,4.93,31.5,106,7.07,4.43,13,321,504,63.7,4254,8.4,8.5,23,9,146.1,54,7,"0"
"117","sean canfield",76,223,4.93,29.5,100,7.26,4.39,13,303,446,67.9,3271,7.3,7.6,21,7,141.9,48,-160,"0"
"118","jimmy clausen",75,222,4.76,31.5554300111452,117.77973593865,4.3183283301164,3.29330942044762,12,289,425,68,3722,8.8,9.7,28,4,161.4,59,-95,"0"
"119","max hall",73,209,4.84,32,102,7.07,4.35,13,275,409,67.2,3560,8.7,8.8,33,14,160.1,72,75,"0"
"120","mike kafka",75,225,4.93,32,110,6.96,4.37,13,319,492,64.8,3430,7,6.5,16,12,129.3,150,295,"1"
"121","dan lefevour",75,230,4.6,29.5,110,6.93,4.22,14,318,456,69.7,3438,7.5,8.1,28,7,150.3,183,713,"0"
"122","thaddeus lewis",72,215,4.84,28,107,4.37808460256209,3.33474679187466,12,274,449,61,3330,7.4,7.5,20,8,134.5,86,48,"1"
"123","colt mccoy",73,216,4.79,31.7360416416204,114,4.32003942430323,3.30140570375299,14,332,470,70.6,3521,7.5,7.5,27,12,147.4,129,348,"1"
"124","tony pike",78,223,4.9,28.5,108,7.06,4.53,10,211,338,62.4,2520,7.5,8.4,29,6,149.8,31,6,"0"
"125","zac robinson",74,214,4.68,35,110,7.24,4.4,12,180,301,59.8,2084,6.9,6.1,15,12,126.4,111,305,"1"
"126","tim tebow",75,236,4.71,38.5,115,6.66,4.17,14,213,314,67.8,2895,9.2,9.8,21,5,164.2,217,910,"1"
"127","ryan colburn",75,233,5.12,29.0497149455559,106.641637133012,6.84,4.28,13,227,360,63.1,2817,7.8,8,23,9,144.9,95,75,"0"
"128","jeff van camp",77,218,4.83,31,114,6.87,4.16,12,192,335,57.3,2459,7.3,6.6,17,13,128,55,-189,"0"
"129","andy dalton",74,215,4.83,29.5,106,6.93,4.27,13,209,316,66.1,2857,9,9.9,27,6,166.5,86,435,"0"
"130","nathan enderle",76,240,5.12,25.5,102,7.13,4.46,13,271,478,56.7,3314,6.9,6.3,22,16,123.4,59,-197,"0"
"131","blaine gabbert",76,234,4.61,33.5,120,6.84,4.26,13,301,475,63.4,3186,6.7,6.5,16,9,127,112,232,"1"
"132","jerrod johnson",77,251,4.75,29,119,7.28,4.31,7,158,279,56.6,1947,7,6.5,14,9,125.4,79,146,"1"
"133","colin kaepernick",77,233,4.53,32.5,115,6.85,4.18,14,233,359,64.9,3022,8.4,8.6,21,8,150.5,173,1206,"0"
"134","jake locker",74,231,4.51,35,120,6.77,4.12,12,184,332,55.4,2265,6.8,6.6,17,9,124.2,114,385,"0"
"135","ryan mallett",79,253,5.37,24,103,4.52724284922713,3.48743441839417,13,266,411,64.7,3869,9.4,9.7,32,12,163.6,44,-74,"1"
"136","greg mcelroy",74,220,4.84,33,107,7.11,4.45,13,222,313,70.9,2987,9.5,10.1,20,5,169,60,-12,"1"
"137","cam newton",77,248,4.56,35,126,6.92,4.18,14,185,280,66.1,2854,10.2,11.2,30,7,182,264,1473,"1"
"138","christian ponder",74,229,4.63,34,116,6.85,4.09,12,184,299,61.5,2044,6.8,7,20,8,135.7,100,180,"1"
"139","ricky stanzi",76,223,4.87,32.5,110,6.95,4.43,13,221,345,64.1,3004,8.7,9.4,25,6,157.6,48,-6,"1"
"140","tyrod taylor",73,217,4.47,37.5,126,6.78,4.09,14,188,315,59.7,2743,8.7,9.5,24,5,154.8,146,659,"1"
"141","scott tolzien",74,212,4.92,29.5,116,6.84,4.12,13,194,266,72.9,2459,9.2,9.4,16,6,165.9,30,-30,"1"
"142","t j  yates",75,219,5.06,29.5,104,6.96,4.12,13,282,422,66.8,3418,8.1,8,19,9,145.5,79,-77,"1"
"143","jordan jefferson",76,223,4.58,36.5,116,6.81,4.06,10,61,100,61,737,7.4,7.7,6,2,138.7,75,263,"1"
"144","jacory harris",75,203,4.65,37,113,7.1,4.4,11,195,300,65,2486,8.3,8.3,20,9,150.6,53,88,"1"
"145","darron thomas",75,220,4.77,36,121,7.17,4.28,13,211,339,62.2,2761,8.1,9.2,33,7,158.7,56,206,"1"
"146","kirk cousins",75,214,4.84,28.5,109,7.05,4.5,14,267,419,63.7,3316,7.9,8,25,10,145.1,37,-39,"1"
"147","austin davis",74,219,4.69,31,109,6.73,4.11,14,286,475,60.2,3496,7.4,7.6,30,11,138.2,110,352,"0"
"148","nick foles",77,243,5.14,30.5,112,4.45178340248339,3.42821194308147,12,387,560,69.1,4334,7.7,7.6,28,14,145.6,43,-103,"1"
