"","year","player","position","age","AV","school","GRADE","DRAFTED BY","PK(OVR)","OVR RANK"
"1",2004,"craig krenzel","QB",22,1,"Ohio State",43,"Chicago","16(148)",269
"2",2004,"jared lorenzen","QB",23,0,"Kentucky",57,NA,NA,179
"3",2004,"j p  losman","QB",22,20,"Tulane",89,NA,NA,30
"4",2004,"eli manning","QB",23,169,"Mississippi",98,"Los Angeles","1(1)",5
"5",2004,"matt mauck","QB",25,1,"LSU",52,"Denver","24(225)",206
"6",2004,"luke mccown","QB",22,8,"Louisiana Tech",60,"Cleveland","10(106)",157
"7",2004,"john navarre","QB",23,0,"Michigan",59,"Arizona","1(202)",167
"8",2004,"cody pickett","QB",23,1,"Washington",66,"San Francisco","16(217)",125
"9",2004,"philip rivers","QB",22,218,"North Carolina State",95,"NY Giants","4(4)",14
"10",2004,"ben roethlisberger","QB",22,208,"Miami (OH)",99,NA,NA,4
"11",2004,"matt schaub","QB",22,79,"Virginia",80,"Atlanta","27(90)",65
"12",2004,"bradlee van pelt","QB",23,0,"Colorado State",47,"Denver","49(250)",242
"13",2005,"derek anderson","QB",21,22,"Oregon State",73,"Baltimore","39(213)",96
"14",2005,"brock berlin","QB",23,0,"Miami (FL)",NA,NA,NA,NA
"15",2005,"jason campbell","QB",23,54,"Auburn",86,NA,NA,46
"16",2005,"ryan fitzpatrick","QB",22,101,"Harvard",64,"Los Angeles","36(250)",142
"17",2005,"charlie frye","QB",23,8,"Akron",85,"Cleveland","3(67)",55
"18",2005,"dan orlovsky","QB",21,7,"Connecticut",67,"Detroit","9(145)",126
"19",2005,"kyle orton","QB",22,44,"Purdue",79,"Chicago","5(106)",69
"20",2005,"aaron rodgers","QB",21,231,"California",99,"Green Bay","24(24)",2
"21",2005,"alex smith","QB",20,120,"Utah",98,NA,NA,3
"22",2005,"andrew walter","QB",22,1,"Arizona State",84,"Las Vegas","5(69)",58
"23",2006,"brett basanez","QB",22,0,"Northwestern",NA,NA,NA,NA
"24",2006,"kellen clemens","QB",22,10,"Oregon",85,"NY Jets","17(49)",55
"25",2006,"brodie croyle","QB",23,2,"Alabama",81,"Kansas City","21(85)",63
"26",2006,"jay cutler","QB",22,109,"Vanderbilt",96,"Denver","11(11)",11
"27",2006,"bruce gradkowski","QB",23,8,"Toledo",63,"Tampa Bay","25(194)",136
"28",2006,"tarvaris jackson","QB",22,24,"Arkansas",65,"Minnesota","32(64)",127
"29",2006,"matt leinart","QB",22,12,"USC",98,"Arizona","10(10)",4
"30",2006,"ingle martin","QB",23,0,"Furman",NA,NA,NA,NA
"31",2006,"reggie mcneal","QB",22,0,"Texas A&M",NA,NA,NA,NA
"32",2006,"marcus vick","QB",21,0,"Virginia Tech",NA,NA,NA,NA
"33",2006,"charlie whitehurst","QB",23,7,"Clemson",77,"Los Angeles","17(81)",76
"34",2006,"vince young","QB",22,36,"Texas",97,"Tennessee","3(3)",7
"35",2007,"john beck","QB",25,4,"BYU",86,"Miami","8(40)",43
"36",2007,"trent edwards","QB",23,17,"Stanford",85,"Buffalo","28(92)",44
"37",2007,"matt gutierrez","QB",22,0,"Idaho State",NA,NA,NA,NA
"38",2007,"kevin kolb","QB",22,13,"Houston",71,"Philadelphia","4(36)",99
"39",2007,"tyler palko","QB",23,2,"Pittsburgh",50,NA,NA,192
"40",2007,"jordan palmer","QB",22,0,"Texas-El Paso",44,"Washington","31(205)",219
"41",2007,"brady quinn","QB",22,2,"Notre Dame",97,"Cleveland","22(22)",7
"42",2007,"jeff rowe","QB",22,0,"Nevada",39,"Cincinnati","14(151)",242
"43",2007,"jamarcus russell","QB",21,6,"LSU",98,NA,NA,2
"44",2007,"troy smith","QB",22,6,"Ohio State",70,"Baltimore","37(174)",104
"45",2007,"drew stanton","QB",22,10,"Michigan State",87,"Detroit","11(43)",41
"46",2007,"isaiah stanback","QB",22,0,"Washington",59,"Dallas","4(103)",153
"47",2008,"erik ainge","QB",21,0,"Tennessee",66,"NY Jets","27(162)",117
"48",2008,"colt brennan","QB",24,0,"Hawaii",NA,NA,NA,NA
"49",2008,"alex brink","QB",22,0,"Washington State",NA,NA,NA,NA
"50",2008,"brian brohm","QB",22,0,"Louisville",93,NA,NA,21
"51",2008,"dennis dixon","QB",23,2,"Oregon",NA,NA,NA,NA
"52",2008,"joe flacco","QB",23,122,"Pittsburgh",89,"Baltimore","18(18)",29
"53",2008,"matt flynn","QB",22,8,"LSU",NA,NA,NA,NA
"54",2008,"chad henne","QB",22,29,"Michigan",90,"Miami","26(57)",27
"55",2008,"josh johnson","QB",21,8,"San Diego",NA,NA,NA,NA
"56",2008,"kevin o'connell","QB",22,0,"San Diego State",NA,NA,NA,NA
"57",2008,"matt ryan","QB",22,210,"Boston Col.",98,"Atlanta","3(3)",5
"58",2008,"andre woodson","QB",23,0,"Kentucky",NA,NA,NA,NA
"59",2009,"rhett bomar","QB",23,0,"SMU",56,"NY Giants","15(151)",163
"60",2009,"tom brandstater","QB",24,0,"Fresno State",47,"Denver","1(174)",214
"61",2009,"rudy carpenter","QB",22,0,"Arizona State",NA,NA,NA,NA
"62",2009,"chase daniel","QB",22,6,"Missouri",NA,NA,NA,NA
"63",2009,"nate davis","QB",21,0,"Ball State",51,"San Francisco","35(171)",187
