"","year","player","position","age","AV","school","GRADE","DRAFTED BY","PK(OVR)","OVR RANK"
"1",2004,"bernard berrian","WR",23,35,"Fresno State",78,"Chicago","15(78)",72
"2",2004,"drew carter","WR",22,8,"Ohio State",54,"Carolina","31(163)",198
"3",2004,"michael clayton","WR",21,24,"LSU",92,NA,NA,23
"4",2004,"keary colbert","WR",21,15,"USC",83,"Carolina","30(62)",55
"5",2004,"terrance copper","WR",21,11,"East Carolina",55,NA,NA,193
"6",2004,"jerricho cotchery","WR",21,62,"North Carolina State",61,"NY Jets","12(108)",153
"7",2004,"devard darling","WR",21,4,"Washington State",70,"Baltimore","19(82)",101
"8",2004,"lee evans","WR",22,54,"Wisconsin",94,NA,NA,18
"9",2004,"larry fitzgerald","WR",20,138,"Pittsburgh",99,"Arizona","3(3)",1
"10",2004,"carlos francis","WR",23,0,"Texas Tech",50,"Las Vegas","3(99)",217
"11",2004,"d j  hackett","WR",22,15,"Colorado",57,"Seattle","25(157)",182
"12",2004,"derrick hamilton","WR",22,0,"Clemson",76,"San Francisco","14(77)",83
"13",2004,"devery henderson","WR",21,41,"LSU",86,"New Orleans","18(50)",44
"14",2004,"justin jenkins","WR",23,0,"Mississippi State",58,NA,NA,173
"15",2004,"michael jenkins","WR",21,46,"Ohio State",90,NA,NA,28
"16",2004,"kelvin kight","WR",21,0,"Florida",33,NA,NA,347
"17",2004,"ryan krause","WR",22,1,"Nebraska-Omaha",31,"Los Angeles","4(169)",373
"18",2004,"triandos luke","WR",22,0,"Alabama",67,"Denver","6(171)",121
"19",2004,"maurice mann","WR",21,0,"Nevada",66,"Cincinnati","17(149)",127
"20",2004,"clarence moore","WR",21,2,"Northern Arizona",47,"Baltimore","34(199)",244
"21",2004,"johnnie morant","WR",22,0,"Syracuse",72,"Las Vegas","2(134)",93
"22",2004,"samie parker","WR",22,14,"Oregon",62,"Kansas City","9(105)",149
"23",2004,"p k  sam","WR",20,0,"Florida State",79,"New England","32(164)",68
"24",2004,"jonathan smith","WR",22,2,"Georgia Tech",NA,NA,NA,NA
"25",2004,"john standeford","WR",21,2,"Purdue",41,NA,NA,283
"26",2004,"kendrick starling","WR",24,0,"San Jose State",49,NA,NA,226
"27",2004,"jamaar taylor","WR",23,1,"Texas A&M",51,"NY Giants","3(168)",212
"28",2004,"sloan thomas","WR",22,0,"Texas",32,"Houston","10(211)",359
"29",2004,"andrae thurman","WR",23,1,"Arizona",48,NA,NA,235
"30",2004,"darius watts","WR",22,4,"Marshall",69,"Denver","22(54)",109
"31",2004,"ernest wilford","WR",25,23,"Virginia Tech",75,"Jacksonville","24(120)",86
"32",2004,"reggie williams","WR",20,25,"Washington",95,NA,NA,16
"33",2004,"roy williams","WR",22,49,"Texas",98,NA,NA,6
"34",2004,"george wilson","WR",22,30,"Arkansas",40,NA,NA,289
"35",2004,"rashaun woods","WR",23,1,"Oklahoma State",89,"San Francisco","31(31)",29
"36",2004,"kevin youngblood","WR",23,0,"Clemson",36,NA,NA,323
"37",2005,"mark bradley","WR",23,11,"Oklahoma",74,"Chicago","7(39)",91
"38",2005,"reggie brown","WR",24,21,"Georgia",88,"Philadelphia","3(35)",37
"39",2005,"mark clayton","WR",22,31,"Oklahoma",91,"Baltimore","22(22)",25
"40",2005,"airese currie","WR",22,0,"Clemson",48,"Chicago","4(140)",241
"41",2005,"braylon edwards","WR",22,46,"Michigan",99,"Cleveland","3(3)",1
"42",2005,"chris henry","WR",21,17,"West Virginia",85,"Cincinnati","19(83)",53
"43",2005,"vincent jackson","WR",22,93,"Northern Colorado",71,"Los Angeles","29(61)",100
"44",2005,"brandon jones","WR",22,12,"Oklahoma",55,"Tennessee","32(96)",198
"45",2005,"rasheed marshall","WR",23,0,"West Virginia",49,"San Francisco","38(174)",233
"46",2005,"jerome mathis","WR",21,4,"Kansas State",82,"Houston","13(114)",62
"47",2005,"leron mccoy","WR",23,1,"Indiana (PA)",59,"Arizona","12(226)",177
"48",2005,"lance moore","WR",21,44,"Toledo",45,NA,NA,258
"49",2005,"terrence murphy","WR",22,0,"Texas A&M",79,"Green Bay","26(58)",71
"50",2005,"chad owens","WR",22,0,"Hawaii",58,"Jacksonville","11(185)",182
"51",2005,"roscoe parrish","WR",22,15,"Miami (FL)",86,"Buffalo","23(55)",49
"52",2005,"tab perry","WR",23,1,"UCLA",52,"Cincinnati","16(190)",215
"53",2005,"jamaica rector","WR",23,0,"Northwest Missouri State",43,NA,NA,267
"54",2005,"courtney roby","WR",22,4,"Indiana",77,"Tennessee","4(68)",84
"55",2005,"craphonso thorpe","WR",21,1,"Florida State",66,"Kansas City","15(116)",133
"56",2005,"paris warren","WR",22,0,"Utah",40,"Tampa Bay","11(225)",280
"57",2005,"roddy white","WR",23,107,"Ala-Birmingham",90,"Atlanta","27(27)",27
"58",2005,"mike williams","WR",21,13,"USC",97,NA,NA,7
"59",2005,"troy williamson","WR",21,8,"South Carolina",94,"Minnesota","7(7)",16
"60",2006,"david anderson","WR",22,8,"Colorado State",NA,NA,NA,NA
"61",2006,"devin aromashodu","WR",21,11,"Auburn",65,"Miami","25(233)",126
"62",2006,"miles austin","WR",21,42,"Monmouth (NJ)",NA,NA,NA,NA
"63",2006,"jason avant","WR",22,35,"Michigan",73,"Philadelphia","12(109)",90
"64",2006,"hank baskett","WR",23,9,"New Mexico",NA,NA,NA,NA
"65",2006,"jason carter","WR",23,0,"Texas A&M",NA,NA,NA,NA
"66",2006,"marques colston","WR",22,89,"Hofstra",NA,NA,NA,NA
