"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","RushAvg","RushTD","ConfIndicator"
"1","rod rutherford",74,240,4.79,30.5,110,7.66,4.41,13,247,413,59.8,3679,8.9,9.2,37,14,157.4,136,150,1.1,2,"0"
"2","ell roberson",71,194,4.6,32.0712183033346,114.466459045267,6.83296837732714,4.22511073845566,13,152,294,51.7,2545,8.7,8.5,24,12,143.2,227,975,4.3,15,"1"
"3","scott rislov",73,224,4.95,30,119,7.44,4.34,11,261,437,59.7,3016,6.9,7.2,18,5,129,53,-31,-0.6,0,"0"
"4","jason fife",76,226,4.83,30.5,113,7.28,4.18,13,64,120,53.3,879,7.3,6.8,6,4,124.7,42,225,5.4,5,"0"
"5","casey clausen",75,223,4.95,30.2289019540042,110.3187924021,7.20628359184827,4.38857797217588,13,233,412,56.6,2968,7.2,7.5,27,9,134.3,64,-45,-0.7,2,"1"
"6","b j  symons",72,210,4.9,30.7107170250856,111.889016918499,7.09267562141809,4.33650647805299,13,470,719,65.4,5833,8.1,8.2,52,22,151.3,79,143,1.8,5,"1"
"7","craig krenzel",75,228,4.84,28,112,7.22,4.08,14,148,249,59.4,2110,8.5,8.2,12,7,140.9,125,368,2.9,3,"1"
"8","jared lorenzen",75,288,5.28,30.8456260434124,111.567818827679,7.33928391049828,4.41577654372601,12,191,336,56.8,2221,6.6,6.5,16,8,123.3,89,75,0.8,5,"1"
"9","j p  losman",74,224,4.73,33,116,7.18029459973792,4.36895512297325,12,251,422,59.5,3077,7.3,7.4,33,14,139.9,77,80,1,2,"0"
"10","eli manning",77,221,4.9,30.2292150432917,110.400272300224,7.17495574512302,4.37125027921556,13,275,441,62.4,3600,8.2,8.5,29,10,148.1,48,-28,-0.6,3,"1"
"11","matt mauck",74,228,4.79,30.8383726089424,111.683763773053,7.17434913783315,4.36193036509308,14,229,358,64,2825,7.9,7.7,28,14,148.2,79,97,1.2,1,"1"
"12","luke mccown",76,208,4.71,37.5,125,6.74,4.21,12,246,432,56.9,3246,7.5,6.9,19,14,128.1,71,-80,-1.1,1,"0"
"13","john navarre",78,246,5.19,26.5,100,7.73,4.46,13,270,456,59.2,3331,7.3,7.4,24,10,133.6,48,-91,-1.9,0,"1"
