URL,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,Pitt,Big East,FR,QB,9,0,3,0.0,0,0.0,0.0,0,0,0.0
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,Pitt,Big East,SO,QB,11,19,59,32.2,262,4.4,1.7,1,4,61.5
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,Pitt,Big East,JR,QB,13,192,367,52.3,2783,7.6,7.3,22,12,129.3
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,Pitt,Big East,SR,QB,13,247,413,59.8,3679,8.9,9.2,37,14,157.4
https://www.sports-reference.com/cfb/players/rod-rutherford-1.html,,,,,,,,,,,,,,,,Pitt,458,842,54.4,6724,8.0,7.8,60,30,137.9,,,,
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,Kansas State,Big 12,FR,QB,6,10,23,43.5,119,5.2,3.0,2,2,98.2
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,Kansas State,Big 12,SO,QB,10,54,136,39.7,855,6.3,4.2,4,8,90.5
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,Kansas State,Big 12,JR,QB,12,91,175,52.0,1580,9.0,8.8,7,4,136.5
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,Kansas State,Big 12,SR,QB,13,152,294,51.7,2545,8.7,8.5,24,12,143.2
https://www.sports-reference.com/cfb/players/ell-roberson-1.html,,,,,,,,,,,,,,,,Kansas State,307,628,48.9,5099,8.1,7.4,37,26,128.3,,,,
https://www.sports-reference.com/cfb/players/scott-rislov-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/scott-rislov-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/scott-rislov-1.html,,,,,,,,,,,,,,,,San Jose State,WAC,JR,QB,13,275,449,61.2,3251,7.2,6.8,22,14,132.0
https://www.sports-reference.com/cfb/players/scott-rislov-1.html,,,,,,,,,,,,,,,,San Jose State,WAC,SR,QB,11,261,437,59.7,3016,6.9,7.2,18,5,129.0
https://www.sports-reference.com/cfb/players/scott-rislov-1.html,,,,,,,,,,,,,,,,San Jose State,536,886,60.5,6267,7.1,7.0,40,19,130.5,,,,
https://www.sports-reference.com/cfb/players/jason-fife-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-fife-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-fife-1.html,,,,,,,,,,,,,,,,Oregon,Pac-10,SO,QB,3,6,9,66.7,71,7.9,7.9,0,0,132.9
