0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,URL
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
Pitt,Big East,FR,QB,9,20,77,3.9,0,2,82,41.0,1,22,159,7.2,1,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
Pitt,Big East,SO,QB,11,81,255,3.1,6,81,255,3.1,6,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
Pitt,Big East,JR,QB,13,182,398,2.2,6,182,398,2.2,6,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
Pitt,Big East,SR,QB,13,136,150,1.1,2,136,150,1.1,2,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
Pitt,419,880,2.1,14,2,82,41.0,1,421,962,2.3,15,,,,,https://www.sports-reference.com/cfb/players/rod-rutherford-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
Kansas State,Big 12,FR,QB,6,33,168,5.1,0,33,168,5.1,0,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
Kansas State,Big 12,SO,QB,10,142,643,4.5,9,142,643,4.5,9,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
Kansas State,Big 12,JR,QB,12,202,1032,5.1,16,202,1032,5.1,16,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
Kansas State,Big 12,SR,QB,13,227,975,4.3,15,227,975,4.3,15,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
Kansas State,604,2818,4.7,40,604,2818,4.7,40,,,,,,,,,https://www.sports-reference.com/cfb/players/ell-roberson-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/scott-rislov-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/scott-rislov-1.html
San Jose State,WAC,JR,QB,13,72,13,0.2,0,1,6,6.0,1,73,19,0.3,1,https://www.sports-reference.com/cfb/players/scott-rislov-1.html
San Jose State,WAC,SR,QB,11,53,-31,-0.6,0,53,-31,-0.6,0,,,,,https://www.sports-reference.com/cfb/players/scott-rislov-1.html
San Jose State,125,-18,-0.1,0,1,6,6.0,1,126,-12,-0.1,1,,,,,https://www.sports-reference.com/cfb/players/scott-rislov-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html
Oregon,Pac-10,SO,QB,3,3,-3,-1.0,0,3,-3,-1.0,0,,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html
Oregon,Pac-10,JR,QB,13,76,67,0.9,3,1,-10,-10.0,0,77,57,0.7,3,https://www.sports-reference.com/cfb/players/jason-fife-1.html
Oregon,Pac-10,SR,QB,13,42,225,5.4,5,42,225,5.4,5,,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html
Oregon,121,289,2.4,8,1,-10,-10.0,0,122,279,2.3,8,,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
Tennessee,SEC,FR,QB,9,40,-42,-1.1,0,40,-42,-1.1,0,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
