"","Year","Player","Pos","wAV","From","To","AP1","PB","Starter","G","GS"
"1",2004,"Jared Allen","DE",101,2004,2015,4,5,12,187,181
"2",2004,"Vince Wilfork","NT",90,2004,2016,1,5,11,189,179
"3",2004,"Darnell Dockett","DT",69,2004,2013,0,3,10,158,156
"4",2004,"Randy Starks","DT",61,2004,2015,0,2,8,186,147
"5",2004,"Tommie Harris","DT",56,2004,2011,0,3,6,117,91
"6",2004,"Antonio Smith","DE",56,2004,2016,0,1,8,186,133
"7",2004,"Shaun Phillips","DE",54,2004,2014,0,1,8,168,121
"8",2004,"Will Smith","DE",52,2004,2012,0,1,7,139,120
"9",2004,"Robert Geathers","DE",46,2004,2014,0,0,7,152,104
"10",2004,"Igor Olshansky","DE",39,2004,2011,0,0,7,115,98
"11",2004,"Isaac Sopoaga","DT",38,2005,2013,0,0,5,139,88
"12",2004,"Corey Williams","DT",33,2004,2012,0,0,5,126,74
"13",2004,"Dwan Edwards","DT",32,2004,2015,0,0,5,136,64
"14",2004,"Bobby McCray","DE",24,2004,2010,0,0,2,94,37
"15",2004,"Antwan Odom","DE",24,2004,2010,0,0,4,74,52
"16",2004,"Tank Johnson","DT",22,2004,2010,0,0,2,91,37
"17",2004,"Travis LaBoy","DE",21,2004,2011,0,0,3,95,46
"18",2004,"Kenechi Udeze","DE",20,2004,2007,0,0,3,51,47
"19",2004,"Anthony Hargrove","DE",16,2004,2011,0,0,1,102,25
"20",2004,"Dave Ball","DE",15,2004,2011,0,0,1,72,23
"21",2004,"Darrion Scott","DE",15,2004,2011,0,0,2,57,28
"22",2004,"Chad Lavalais","DT",9,2004,2005,0,0,1,30,20
"23",2004,"Craig Terrill","DT",9,2004,2010,0,0,0,88,5
"24",2004,"Marcus Tubbs","DT",9,2004,2006,0,0,1,29,16
"25",2004,"Tim Anderson","DT",7,2004,2007,0,0,1,43,17
"26",2004,"Anthony Maddox","DT",7,2004,2007,0,0,1,35,12
"27",2004,"Ryon Bingham","DT",6,2005,2008,0,0,0,49,2
"28",2004,"Junior Siavii","DT",6,2004,2010,0,0,0,56,6
"29",2004,"Amon Gordon","DT",4,2004,2011,0,0,0,33,6
"30",2004,"Trevor Johnson","DE",4,2004,2007,0,0,0,35,0
"31",2004,"Jared Clauss","DT",3,2004,2005,0,0,0,29,2
"32",2004,"Bo Schobel","DE",3,2004,2007,0,0,0,29,2
"33",2004,"Rodney Leisle","DT",2,2004,2009,0,0,0,18,1
"34",2004,"Marquise Hill","DE",1,2004,2006,0,0,0,13,0
"35",2004,"Matthias Askew","DT",0,2004,2005,0,0,0,6,0
"36",2004,"Eric Taylor","DT",0,2005,2005,0,0,0,1,0
"37",2004,"Claude Harriott","DE",NA,NA,NA,0,0,0,NA,NA
"38",2004,"Nathaniel Adibi","DE",NA,NA,NA,0,0,0,NA,NA
"39",2004,"Shawn Johnson","DE",NA,NA,NA,0,0,0,NA,NA
"40",2004,"Donnell Washington","DT",NA,NA,NA,0,0,0,NA,NA
"41",2004,"Isaac Hilton","DE",NA,NA,NA,0,0,0,NA,NA
"42",2004,"Christian Ferrara","DT",NA,NA,NA,0,0,0,NA,NA
"43",2005,"Trent Cole","DE",68,2005,2016,0,2,9,176,154
"44",2005,"Justin Tuck","DE",65,2005,2015,1,2,7,147,107
"45",2005,"Jay Ratliff","DE",55,2005,2015,1,4,7,122,102
"46",2005,"Jonathan Babineaux","DE",52,2005,2016,0,0,10,185,133
"47",2005,"Mike Patterson","DT",48,2005,2014,0,0,6,147,108
"48",2005,"Chris Canty","DE",46,2005,2015,0,0,9,148,128
"49",2005,"Sione Pouha","DT",36,2005,2012,0,0,4,106,55
"50",2005,"Marcus Spears","DE",36,2005,2013,0,0,6,124,90
"51",2005,"Luis Castillo","DE",33,2005,2011,0,0,6,82,79
"52",2005,"Shaun Cody","DT",28,2005,2012,0,0,4,112,68
"53",2005,"Matt Roth","DE",27,2005,2011,0,0,5,96,54
"54",2005,"Jovan Haye","DE",25,2005,2011,0,0,3,73,46
"55",2005,"C.J. Mosley","DT",21,2005,2015,0,0,1,140,31
"56",2005,"Kevin Vickerson","DT",21,2007,2014,0,0,3,86,44
"57",2005,"Chauncey Davis","DE",20,2005,2011,0,0,1,102,25
"58",2005,"Travis Johnson","DT",17,2005,2010,0,0,3,76,38
"59",2005,"Ronald Fields","DT",13,2005,2011,0,0,2,87,25
"60",2005,"Jonathan Fanene","DE",12,2005,2011,0,0,1,71,17
"61",2005,"Mike Montgomery","DT",8,2005,2010,0,0,1,58,8
"62",2005,"Erasmus James","DE",6,2005,2008,0,0,1,28,12
"63",2005,"Eric Moore","DE",5,2005,2011,0,0,0,35,4
"64",2005,"Jason Jefferson","DT",3,2005,2008,0,0,0,34,1
"65",2005,"Kenneth Pettway","DE",3,2006,2008,0,0,0,25,0
"66",2005,"Anthony Bryant","DT",2,2005,2010,0,0,0,15,6
"67",2005,"David McMillan","DE",2,2005,2007,0,0,0,29,0
"68",2005,"Darrell Shropshire","DT",2,2005,2006,0,0,0,23,1
"69",2005,"Anttaj Hawthorne","DT",1,2005,2006,0,0,0,18,0
"70",2005,"Ryan Riddle","DE",1,2005,2006,0,0,0,17,0
"71",2005,"Dan Cody","DE",0,2006,2006,0,0,0,2,0
"72",2005,"Atiyyah Ellison","DT",0,2009,2009,0,0,0,15,6
"73",2005,"Jonathan Goddard","DE",0,2005,2005,0,0,0,1,0
"74",2005,"Khari Long","DE",0,2005,2005,0,0,0,1,0
"75",2005,"Keyonta Marshall","DT",0,2005,2005,0,0,0,1,0
"76",2005,"Bill Swancutt","DE",0,2005,2005,0,0,0,8,0
"77",2005,"Jimmy Verdon","DT",0,2005,2005,0,0,0,4,0
"78",2005,"Jonathan Welsh","DE",0,2005,2005,0,0,0,6,0
"79",2005,"Shaun Nua","DE",NA,NA,NA,0,0,0,NA,NA
"80",2005,"Vincent Burns","DE",NA,NA,NA,0,0,0,NA,NA
"81",2005,"Andrew Hoffman","DT",NA,NA,NA,0,0,0,NA,NA
"82",2006,"Haloti Ngata","DT",100,2006,2018,2,5,12,180,174
"83",2006,"Kyle Williams","DT",79,2006,2018,0,6,11,183,178
"84",2006,"Mario Williams","DE",79,2006,2016,1,4,9,158,150
"85",2006,"Tamba Hali","DE",75,2006,2017,0,5,10,177,157
"86",2006,"Domata Peko","DT",68,2006,2020,0,0,12,214,194
"87",2006,"Elvis Dumervil","DE",63,2006,2017,2,5,6,162,99
"88",2006,"Rob Ninkovich","DE",51,2006,2016,0,0,7,131,101
"89",2006,"Manny Lawson","DE",47,2006,2015,0,0,7,143,110
"90",2006,"Barry Cofield","DT",46,2006,2015,0,0,8,138,129
"91",2006,"Kamerion Wimbley","DE",44,2006,2014,0,0,8,140,123
"92",2006,"Brodrick Bunkley","DT",40,2006,2014,0,0,7,130,101
"93",2006,"Frostee Rucker","DE",39,2007,2018,0,0,5,157,88
"94",2006,"Parys Haralson","DE",38,2006,2014,0,0,7,118,88
"95",2006,"Ray Edwards","DE",37,2006,2012,0,0,5,97,78
"96",2006,"Mathias Kiwanuka","DE",37,2006,2014,0,0,5,120,82
"97",2006,"Jason Hatcher","DE",34,2006,2015,0,1,5,147,69
"98",2006,"Darryl Tapp","DE",30,2006,2017,0,0,2,165,39
"99",2006,"Chris Gocong","DE",29,2007,2011,0,0,5,79,67
"100",2006,"Jeremy Mincey","DE",29,2007,2015,0,0,4,96,62
"101",2006,"Kedric Golston","DT",27,2006,2016,0,0,4,142,53
"102",2006,"Mark Anderson","DE",21,2006,2012,0,0,1,98,25
"103",2006,"Johnny Jolly","DT",21,2006,2013,0,0,3,61,47
"104",2006,"Anthony Montgomery","NT",14,2006,2009,0,0,1,42,22
"105",2006,"Victor Adeyanju","DE",13,2006,2009,0,0,2,53,26
"106",2006,"Guy Whimper","DE",13,2006,2013,0,0,1,78,24
"107",2006,"Gabe Watson","DT",11,2006,2010,0,0,1,62,21
"108",2006,"Fred Evans","DT",9,2006,2013,0,0,0,95,6
"109",2006,"Dusty Dvoracek","DT",6,2007,2008,0,0,1,13,13
"110",2006,"Dave Tollefson","DE",6,2007,2012,0,0,0,78,2
"111",2006,"Melvin Oliver","DE",5,2006,2006,0,0,1,16,14
"112",2006,"Le Kevin Smith","DT",5,2006,2010,0,0,0,45,2
"113",2006,"Montavious Stanley","DT",5,2006,2009,0,0,0,33,6
"114",2006,"John McCargo","DT",4,2006,2011,0,0,0,44,1
"115",2006,"LaJuan Ramsey","DT",4,2006,2009,0,0,0,34,5
